,cog,player,name,dob,role,team,join,joinelo32,joinelo64,joinglicko,joinglickomu,joinglickophi,joinglickosigma,joinglicko2,joinglicko2mu,joinglicko2phi,joinglicko2sigma,leave,leaveelo32,leaveelo64,leaveglicko,leaveglickomu,leaveglickophi,leaveglickosigma,leaveglicko2,leaveglicko2mu,leaveglicko2phi,leaveglicko2sigma
0,Russia,.Ark,Egor Zhabotinskii,1997-07-07,1,DoverieT,2014-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Russia,.Ark,Egor Zhabotinskii,1997-07-07,1,Siberian Valenki Black,2015-06-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Russia,.Ark,Egor Zhabotinskii,1997-07-07,1,Comanche,2017-01-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-04-27,1020.0158074999376,1060.707505145189,1402.5071707265597,1797.5262825763348,,158.00764473990998,1543.2821070441812,1797.5262825763348,,158.00764473990998
3,Russia,.Ark,Egor Zhabotinskii,1997-07-07,1,Mineski,2017-05-21,1112.3079251423328,1173.1801205575136,1613.8791103317608,1905.1797401337208,,116.52025192078396,1613.8791103317608,1905.1797401337208,,116.52025192078396,2017-08-16,1035.5239884269151,1033.901366662446,1218.6954145839686,1808.8620648117349,,236.0666600911065,1668.8576998718454,1808.8620648117349,,236.0666600911065
4,Russia,.Ark,Egor Zhabotinskii,1997-07-07,1,Spartak Esports,2017-09-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-11-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Natus Vincere,2011-04-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011-12-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,eSahara,2012-01-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-05-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Absolute Legends,2012-05-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-07-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,FXOpen e-Sports,2012-07-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-04-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Natus Vincere,2013-04-09,1087.6216298839697,1153.2153786343417,1509.0850487065468,1736.478001195198,,90.95718099546045,1509.0850487065468,1736.478001195198,,90.95718099546045,2013-08-31,1251.9855802043407,1372.5229357585768,1651.3783323480816,1946.8306564243508,,118.1809296305077,1757.2472757400683,1946.8306564243508,,118.1809296305077
10,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Millenium,2013-09-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-05-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Meet Your Makers,2014-07-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Lianghao,2014-11-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-03-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Flipsid3 Tactics,2015-03-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-04-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Princess Jellopy,2015-09-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-10-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,London Conspiracy,2015-10-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-04-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,HWA Gaming,2016-04-27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-06-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Danish Bears,2016-06-03,1090.0101086780026,1158.7148235408024,1711.4438461704822,1915.9209342717668,,81.79083524051386,1711.4438461704822,1915.9209342717668,,81.79083524051386,2016-06-24,1077.900003649934,1137.361075491611,1513.6637036861866,1915.9209342717668,,160.902892234232,1619.4810156320584,1915.9209342717668,,160.902892234232
18,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,The Imperial,2016-06-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-12-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Danish Bears,2016-12-09,1047.8325716185118,1030.685870361176,1496.4657392238846,1856.9910176638457,,144.21011137598447,1496.4657392238846,1856.9910176638457,,144.21011137598447,2017-01-05,1039.72283743544,1025.4832596006652,1318.4945214874904,1856.9910176638457,,215.39859847054214,1662.9236754788512,1856.9910176638457,,215.39859847054214
20,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Cloud9,2017-01-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-05-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Denmark,13abyKnight,Jon Andersen,1992-06-15,1,Crescendo,2017-05-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-07-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,Israel,33,Neta Shapira,1997-04-17,2,No Logic Gaming,2015-12-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-02-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,Israel,33,Neta Shapira,1997-04-17,2,Kaipi,2016-06-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-10-28,1035.4560054776637,1032.370513963811,1405.2903926062856,1846.303478642801,,176.40523441460618,1656.858738186001,1846.303478642801,,176.40523441460618
24,Israel,33,Neta Shapira,1997-04-17,2,Prodota Gaming,2016-11-11,948.2882923513271,933.8355086743819,1264.515345951621,1608.766549539595,,137.70048143518957,1264.515345951621,1608.766549539595,,137.70048143518957,2017-01-08,978.7674245120679,997.4276044632318,1146.1008860401348,1663.519011317313,,206.9672501108713,1434.6446994792982,1663.519011317313,,206.9672501108713
25,Israel,33,Neta Shapira,1997-04-17,2,Kaipi,2017-01-08,1005.0915581008663,1004.634080298404,1187.6738865993261,1823.1191166715153,,254.17809202887565,1187.6738865993261,1823.1191166715153,,254.17809202887565,2017-04-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,Israel,33,Neta Shapira,1997-04-17,2,Prodota Gaming,2017-04-05,944.1113324672062,925.8318644355692,962.4790519877549,1503.3856555304294,,216.36264141706977,962.4790519877549,1503.3856555304294,,216.36264141706977,2017-06-14,963.7739532376476,950.1538351008609,1257.974844673386,1775.656885920574,,207.07281649887523,1472.1810562177377,1775.656885920574,,207.07281649887523
