v1,id,player,start,country,name,dob,team,tour,end,ageattour,elo32diff,cumelo,intage,std,mean,normal,quarterattour,intage2,start2,ageattoursq,id_effect
0,0,33,2016-12-14,Israel,Neta Shapira,1997-04-17,Prodota Gaming,World Cyber Arena 2016,2016-12-16,7181,-10.310471,-10.310471,19,17.584629,2.12374,-.70710677,19,361,14dec2016,51566760,-35.324879
1,0,33,2017-05-02,Israel,Neta Shapira,1997-04-17,Prodota Gaming,Mr. Cat Invitational Europe,2017-05-18,7320,24.868422,14.557951,20,17.584629,2.12374,.70710677,20,400,02may2017,53582400,-35.324879
4,1,BzzIsPerfect,2014-08-15,Russia,Stanislav Glushan,1992-11-09,Virtus.Pro,StarLadder StarSeries Season 10,2014-10-26,7949,50.786907,50.786907,21,35.513512,84.585602,-.95171368,21,441,15aug2014,63186600,-45.084911
6,1,BzzIsPerfect,2014-08-25,Russia,Stanislav Glushan,1992-11-09,Virtus.Pro,Megafon Battle Arena,2014-08-26,7959,-.96847636,49.818428,21,35.513512,84.585602,-.97898436,21,441,25aug2014,63345680,-45.084911
3,1,BzzIsPerfect,2014-10-06,Russia,Stanislav Glushan,1992-11-09,Virtus.pro,ASUS ROG DreamLeague Season 2,2014-11-29,8001,70.655579,120.47401,21,35.513512,84.585602,1.0105563,21,441,06oct2014,64016000,-45.084911
2,1,BzzIsPerfect,2014-10-31,Russia,Stanislav Glushan,1992-11-09,Virtus.pro,XMG Captains Draft 2.0,2014-12-21,8026,1.3290722,121.80308,21,35.513512,84.585602,1.0479808,21,441,31oct2014,64416676,-45.084911
5,1,BzzIsPerfect,2014-11-01,Russia,Stanislav Glushan,1992-11-09,Virtus.pro,MSI Beat IT 2014,2014-11-02,8027,-41.757496,80.045586,21,35.513512,84.585602,-.12783912,21,441,01nov2014,64432728,-45.084911
16,2,7ckngMad,2013-08-31,France,Sébastien Debs,1992-05-11,Quantic Gaming,StarLadder StarSeries Season 7,2013-10-13,7782,77.849342,77.849342,21,122.20767,-26.991364,.85788977,21,441,31aug2013,60559524,-169.90327
15,2,7ckngMad,2013-11-25,France,Sébastien Debs,1992-05-11,Sigma.int,StarLadder StarSeries Season 8,2014-01-19,7868,-27.438496,50.410851,21,122.20767,-26.991364,.63336623,21,441,25nov2013,61905424,-169.90327
21,2,7ckngMad,2014-01-04,France,Sébastien Debs,1992-05-11,Sigma.int,Pinnacle Sports Pro-Am,2014-01-12,7908,-9.7013712,40.709476,21,122.20767,-26.991364,.55398196,21,441,04jan2014,62536464,-169.90327
20,2,7ckngMad,2014-01-31,France,Sébastien Debs,1992-05-11,Sigma.int,Electronic Sports Prime Shock Therapy Cup,2014-02-08,7935,-33.77697,6.932507,21,122.20767,-26.991364,.277592,21,441,31jan2014,62964224,-169.90327
14,2,7ckngMad,2014-02-09,France,Sébastien Debs,1992-05-11,Sigma.int,Dota 2 Champions League Season 2,2014-04-15,7944,11.617396,18.549904,21,122.20767,-26.991364,.37265474,21,441,09feb2014,63107136,-169.90327
19,2,7ckngMad,2014-02-18,France,Sébastien Debs,1992-05-11,Sigma,XMG Captains Draft Invitational,2014-04-01,7953,53.128872,71.67878,21,122.20767,-26.991364,.80739731,21,441,18feb2014,63250208,-169.90327
13,2,7ckngMad,2014-03-03,France,Sébastien Debs,1992-05-11,Sigma.int,ASUS ROG DreamLeague Season 1,2014-06-16,7966,-3.0765154,68.602264,21,122.20767,-26.991364,.78222281,21,441,03mar2014,63457156,-169.90327
18,2,7ckngMad,2014-11-09,France,Sébastien Debs,1992-05-11,Denial eSports,Battle of Central Europe Season 3,2014-12-19,8217,-2.1456556,66.456604,22,122.20767,-26.991364,.76466537,22,484,09nov2014,67519088,-169.90327
7,2,7ckngMad,2015-01-21,France,Sébastien Debs,1992-05-11,Alliance,Dota Pit League Season 3,2015-07-12,8290,-57.046261,9.4103451,22,122.20767,-26.991364,.29786763,22,484,21jan2015,68724096,-169.90327
12,2,7ckngMad,2015-03-09,France,Sébastien Debs,1992-05-11,Alliance,StarLadder StarSeries Season 12,2015-04-26,8337,90.511604,99.921951,22,122.20767,-26.991364,1.0385053,22,484,09mar2015,69505568,-169.90327
9,2,7ckngMad,2015-03-28,France,Sébastien Debs,1992-05-11,Alliance,ASUS ROG DreamLeague Season 3,2015-06-15,8356,-179.45447,-79.532516,22,122.20767,-26.991364,-.42993334,22,484,28mar2015,69822736,-169.90327
11,2,7ckngMad,2015-04-06,France,Sébastien Debs,1992-05-11,Alliance,i-League Season 3,2015-05-23,8365,-74.398117,-153.93063,22,122.20767,-26.991364,-1.0387177,22,484,06apr2015,69973224,-169.90327
10,2,7ckngMad,2015-04-20,France,Sébastien Debs,1992-05-11,Alliance,joinDOTA MLG Pro League Season 2,2015-06-07,8379,-73.376511,-227.30714,22,122.20767,-26.991364,-1.6391425,22,484,20apr2015,70207640,-169.90327
17,2,7ckngMad,2015-05-03,France,Sébastien Debs,1992-05-11,Alliance,RoG Play It Cool Dota 2 Invitational,2015-05-03,8392,0,-227.30714,22,122.20767,-26.991364,-1.6391425,22,484,03may2015,70425664,-169.90327
8,2,7ckngMad,2015-06-20,France,Sébastien Debs,1992-05-11,Alliance,ESL One Frankfurt 2015,2015-06-21,8440,-.0079009812,-227.31505,23,122.20767,-26.991364,-1.6392071,23,529,20jun2015,71233600,-169.90327
30,3,9pasha,2016-11-16,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,The Summit 6,2016-11-20,8905,43.393391,43.393391,24,57.843327,-79.308144,2.1212738,24,576,16nov2016,79299024,-287.68872
29,3,9pasha,2016-12-03,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,The Boston Major 2016,2016-12-10,8922,-46.032665,-2.6392741,24,57.843327,-79.308144,1.3254575,24,576,03dec2016,79602080,-287.68872
28,3,9pasha,2017-01-20,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,Dota Pit League Season 5,2017-01-22,8970,-38.39753,-41.036804,24,57.843327,-79.308144,.66163796,24,576,20jan2017,80460896,-287.68872
35,3,9pasha,2017-04-01,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,Russian e-Sports Cup 2017,2017-05-28,9041,-27.542612,-68.579414,24,57.843327,-79.308144,.18547909,24,576,01apr2017,81739680,-287.68872
27,3,9pasha,2017-04-24,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,The Kiev Major 2017,2017-04-30,9064,48.06823,-20.511185,24,57.843327,-79.308144,1.0164864,24,576,24apr2017,82156096,-287.68872
37,3,9pasha,2017-05-02,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,Mr. Cat Invitational Europe,2017-05-18,9072,-42.707787,-63.218971,24,57.843327,-79.308144,.27815089,24,576,02may2017,82301184,-287.68872
36,3,9pasha,2017-05-04,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,DreamLeague Season 7 EU Division,2017-05-21,9074,-62.127594,-125.34657,24,57.843327,-79.308144,-.7959159,24,576,04may2017,82337472,-287.68872
26,3,9pasha,2017-06-04,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,EPICENTER 2017,2017-06-11,9105,-12.369686,-137.71625,24,57.843327,-79.308144,-1.009764,24,576,04jun2017,82901024,-287.68872
25,3,9pasha,2017-06-14,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,DOTA Summit 7,2017-06-18,9115,52.847107,-84.869148,24,57.843327,-79.308144,-.096139036,24,576,14jun2017,83083224,-287.68872
24,3,9pasha,2017-08-02,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,The International 2017,2017-08-12,9164,-3.3566468,-88.225792,25,57.843327,-79.308144,-.15416901,25,625,02aug2017,83978896,-287.68872
23,3,9pasha,2017-10-26,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,ESL One Hamburg 2017,2017-10-29,9249,46.508625,-41.717167,25,57.843327,-79.308144,.64987576,25,625,26oct2017,85544000,-287.68872
34,3,9pasha,2017-11-02,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,AMD SAPPHIRE Dota PIT League,2017-11-05,9256,-77.406616,-119.12378,25,57.843327,-79.308144,-.68833596,25,625,02nov2017,85673536,-287.68872
33,3,9pasha,2017-11-21,Russia,Pavel Khvastunov,1992-06-30,Virtus.Pro,Adrenaline Cyber League,2017-11-22,9275,-1.123005,-120.24679,25,57.843327,-79.308144,-.70775056,25,625,21nov2017,86025624,-287.68872
22,3,9pasha,2017-12-01,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,DreamLeague Season 8,2017-12-03,9285,-35.773064,-156.01985,25,57.843327,-79.308144,-1.3261981,25,625,01dec2017,86211224,-287.68872
32,3,9pasha,2017-12-08,Russia,Pavel Khvastunov,1992-06-30,Virtus.Pro,MDL Macau,2017-12-10,9292,-11.294593,-167.31445,25,57.843327,-79.308144,-1.5214599,25,625,08dec2017,86341264,-287.68872
31,3,9pasha,2017-12-13,Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,DOTA Summit 8,2017-12-17,9297,91.556206,-75.75824,25,57.843327,-79.308144,.061370965,25,625,13dec2017,86434208,-287.68872
55,4,Dogf1ghts,2016-05-18,China,Gao Tianpeng,1995-12-05,IG Vitality,Dota2 Professional League Season 1,2016-07-17,7470,106.9007,106.9007,20,61.992569,246.18059,-2.2467191,20,400,18may2016,55800900,151.67989
52,4,Dogf1ghts,2016-06-13,China,Gao Tianpeng,1995-12-05,IG Vitality,World Cyber Arena 2016 Chinese Qualifiers S2,2016-09-25,7496,140.67891,247.57961,20,61.992569,246.18059,.022567455,20,400,13jun2016,56190016,151.67989
56,4,Dogf1ghts,2016-06-30,China,Gao Tianpeng,1995-12-05,IG Vitality,G-League 2016,2016-07-09,7513,-59.218792,188.36081,20,61.992569,246.18059,-.93268889,20,400,30jun2016,56445168,151.67989
53,4,Dogf1ghts,2016-07-20,China,Gao Tianpeng,1995-12-05,IG Vitality,VPGame Pro League Season 2,2016-07-31,7533,-1.7540214,186.60678,20,61.992569,246.18059,-.96098292,20,400,20jul2016,56746088,151.67989
54,4,Dogf1ghts,2016-07-23,China,Gao Tianpeng,1995-12-05,IG Vitality,Pro Gamer League 2016 (PGL 2016) - Summer,2016-07-24,7536,11.527398,198.13419,20,61.992569,246.18059,-.77503484,20,400,23jul2016,56791296,151.67989
51,4,Dogf1ghts,2016-09-20,China,Gao Tianpeng,1995-12-05,IG Vitality,Shanghai Dota 2 Open #2,2016-10-08,7595,36.374222,234.50841,20,61.992569,246.18059,-.18828355,20,400,20sep2016,57684024,151.67989
48,4,Dogf1ghts,2016-09-23,China,Gao Tianpeng,1995-12-05,IG Vitality,Dota2 Professional League Season 2 - Top,2016-12-31,7598,61.853531,296.36194,20,61.992569,246.18059,.80947363,20,400,23sep2016,57729604,151.67989
45,4,Dogf1ghts,2016-09-28,China,Gao Tianpeng,1995-12-05,IG Vitality,Mars Dota 2 League 2016 Autumn,2016-10-02,7603,-51.703911,244.65802,20,61.992569,246.18059,-.02456039,20,400,28sep2016,57805608,151.67989
50,4,Dogf1ghts,2016-10-14,China,Gao Tianpeng,1995-12-05,IG Vitality,Nanyang Dota 2 Championships  - Cruise Cup #1,2016-10-16,7619,-1.4512098,243.20682,20,61.992569,246.18059,-.047969807,20,400,14oct2016,58049160,151.67989
49,4,Dogf1ghts,2016-10-16,China,Gao Tianpeng,1995-12-05,IG Vitality,Dota2 ACE - Provisional,2016-12-26,7621,98.542404,341.74921,20,61.992569,246.18059,1.5416143,20,400,16oct2016,58079640,151.67989
44,4,Dogf1ghts,2016-12-14,China,Gao Tianpeng,1995-12-05,IG Vitality,World Cyber Arena 2016,2016-12-16,7680,32.08136,373.83057,21,61.992569,246.18059,2.0591176,21,441,14dec2016,58982400,151.67989
43,4,Dogf1ghts,2017-02-23,China,Gao Tianpeng,1995-12-05,IG Vitality,StarLadder i-League StarSeries Season 3,2017-02-26,7751,-33.730118,340.10046,21,61.992569,246.18059,1.5150182,21,441,23feb2017,60078000,151.67989
