tour,place,prize,team
GESC: Thailand Dota2 Minor,1,"$100,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
DreamLeague Season 9,1,"$125,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
GESC: Indonesia Dota2 Minor,1,"$110,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
StarLadder i-League Invitational Season 4,1,"$135,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
Galaxy Battles II: Emerging Worlds,1,"$200,000",VGJ.Thunder
Galaxy Battles II: Emerging Worlds,2,"$85,000",Evil Geniuses
Galaxy Battles II: Emerging Worlds,3,"$60,000",Team Spirit
Galaxy Battles II: Emerging Worlds,4,"$45,000",OG
Galaxy Battles II: Emerging Worlds,5,"$35,000",TNC Pro Team
Galaxy Battles II: Emerging Worlds,5,"$35,000",paiN Gaming
Galaxy Battles II: Emerging Worlds,7,"$20,000",Infamous
Galaxy Battles II: Emerging Worlds,7,"$20,000",PG.Barracx
Captains Draft 4.0,1,"$108,000",Team Secret
Captains Draft 4.0,2,"$69,000",Vici Gaming
Captains Draft 4.0,3,"$37,500",Mineski
Captains Draft 4.0,3,"$37,500",OG
Captains Draft 4.0,5,"$12,000",paiN Gaming
Captains Draft 4.0,5,"$12,000",Evil Geniuses
Captains Draft 4.0,5,"$12,000",compLexity Gaming
Captains Draft 4.0,5,"$12,000",Team Empire
DOTA Summit 8,1,"$120,000",Virtus.pro
DOTA Summit 8,2,"$60,000",Fnatic
DOTA Summit 8,3,"$36,000",OG
DOTA Summit 8,3,"$36,000",Team Kinguin
DOTA Summit 8,5,"$18,000",compLexity Gaming
DOTA Summit 8,6,"$9,000",OpTic Gaming
DOTA Summit 8,6,"$9,000",Evil Geniuses
DOTA Summit 8,8,"$6,000",Sacred
DOTA Summit 8,8,"$6,000",LGD Gaming
ROG MASTERS 2017,1,"$117,500",Team Empire
ROG MASTERS 2017,2,"$58,800",OpTic Gaming
ROG MASTERS 2017,3,"$21,350",PENTA Sports
ROG MASTERS 2017,3,"$21,350",WarriorsGaming.Unity
ROG MASTERS 2017,5,"$8,000",Execration
ROG MASTERS 2017,5,"$8,000",Team MAX
MDL Macau,1,"$130,000",OG
MDL Macau,2,"$65,000",TNC Pro Team
MDL Macau,3,"$30,000",Natus Vincere
MDL Macau,3,"$30,000",Virtus.pro
MDL Macau,5,"$9,000",EHOME
MDL Macau,6,"$9,000",LGD.Forever Young
MDL Macau,7,"$9,000",Infamous
MDL Macau,8,"$9,000",LGD Gaming
MDL Macau,9,"$9,000",VGJ.Storm
Perfect World Masters,1,"$150,000",Newbee
Perfect World Masters,2,"$60,000",Vici Gaming
Perfect World Masters,3,"$30,000",LGD.Forever Young
Perfect World Masters,4,"$18,000",compLexity Gaming
Perfect World Masters,5,"$12,000",Team Kinguin
Perfect World Masters,5,"$12,000",Team Secret
Perfect World Masters,7,"$6,000",Mineski
Perfect World Masters,7,"$6,000",Vega Squadron
Perfect World Masters,9,"$3,000",LGD Gaming
Perfect World Masters,9,"$3,000",SG e-sports
China Top 2017,1,"$151,935",TNC Pro Team
China Top 2017,1,"$151,935",VGJ.Thunder
China Top 2017,1,"$151,935",Invictus Gaming
China Top 2017,1,"$151,935",Digital Chaos
Adrenaline Cyber League,1,"$65,000",Natus Vincere
Adrenaline Cyber League,2,"$25,000",Virtus.pro
Adrenaline Cyber League,3,"$5,000",mousesports
Adrenaline Cyber League,3,"$5,000",Team Empire
Dota2 Professional League Season 4 (2017 S2)- Top,1,"$51,204",LGD.Forever Young
Dota2 Professional League Season 4 (2017 S2)- Top,2,"$22,590",Newbee
Dota2 Professional League Season 4 (2017 S2)- Top,3,"$15,060",VGJ.Thunder
Dota2 Professional League Season 4 (2017 S2)- Top,4,"$12,048",Vici Gaming
Dota2 Professional League Season 4 (2017 S2)- Top,5,"$9,789",LGD Gaming
Dota2 Professional League Season 4 (2017 S2)- Top,5,"$9,789",Invictus Gaming
Dota2 Professional League Season 4 (2017 S2)- Top,7,"$7,530",iG Vitality
Dota2 Professional League Season 4 (2017 S2)- Top,8,"$7,530",Team MAX
Dota2 Professional League Season 4 (2017 S2)- Top,8,"$7,530",CDEC Gaming
AMD SAPPHIRE Dota PIT League,1,"$125,000",Team Liquid
AMD SAPPHIRE Dota PIT League,2,"$65,000",Vici Gaming
AMD SAPPHIRE Dota PIT League,3,"$35,000",Newbee
AMD SAPPHIRE Dota PIT League,4,"$25,000",Virtus.pro
AMD SAPPHIRE Dota PIT League,5,"$15,000",SG e-sports
AMD SAPPHIRE Dota PIT League,5,"$15,000",OG
AMD SAPPHIRE Dota PIT League,7,"$10,000",Immortals
AMD SAPPHIRE Dota PIT League,7,"$10,000",Fnatic
PGL Open Bucharest,1,"$130,000",Mineski
PGL Open Bucharest,2,"$65,000",LGD Gaming
PGL Open Bucharest,3,"$30,000",Immortals
PGL Open Bucharest,3,"$30,000",Evil Geniuses
PGL Open Bucharest,5,"$15,000",Team Secret
PGL Open Bucharest,5,"$15,000",VGJ.Thunder
PGL Open Bucharest,7,"$7,500",Infamous
PGL Open Bucharest,7,"$7,500",Natus Vincere
StarLadder i-League Invitational Season 3,1,"$135,000",Team Liquid
StarLadder i-League Invitational Season 3,2,"$60,000",Mineski
StarLadder i-League Invitational Season 3,3,"$30,000",compLexity Gaming
StarLadder i-League Invitational Season 3,3,"$30,000",Team Secret
StarLadder i-League Invitational Season 3,5,"$15,000",SG e-sports
StarLadder i-League Invitational Season 3,5,"$15,000",Natus Vincere
StarLadder i-League Invitational Season 3,7,"$7,500",Vici Gaming
StarLadder i-League Invitational Season 3,7,"$7,500",Newbee
DreamLeague Season 7,1,"$80,000",Team Liquid
DreamLeague Season 7,2,"$45,000",Planet Odd
DreamLeague Season 7,3,"$30,000",Team Secret
DreamLeague Season 7,4,"$20,000",Vega Squadron
The Final Match Season 1,1,"$21,250",Alliance
The Final Match Season 1,2,"$11,250",SG e-sports
The Final Match Season 1,3,"$6,500",Team Spirit
The Final Match Season 1,4,"$5,000",Thunder Awaken
The Final Match Season 1,5,"$1,750",Elite Wolves
The Final Match Season 1,5,"$1,750",MVP Revolution
The Final Match Season 1,7,"$1,250",Infamous
The Final Match Season 1,7,"$1,250",Midas Club Elite
DreamLeague Season 7 NA Division,1,"$6,000",Planet Odd
DreamLeague Season 7 NA Division,2,"$3,000",Team Freedom
DreamLeague Season 7 NA Division,3,"$2,000",compLexity Gaming
DreamLeague Season 7 NA Division,4,"$1,000",SG e-sports
Russian e-Sports Cup 2017,1,"$24,948",Virtus.pro
Russian e-Sports Cup 2017,2,"$12,563",Team Empire
Russian e-Sports Cup 2017,3,"$9,024",Team Spirit
Russian e-Sports Cup 2017,4,"$4,600",Elements Pro
Russian e-Sports Cup 2017,5,"$1,946",ZOKEN GAMING
Russian e-Sports Cup 2017,6,"$1,769",ZERO ONE
Russian e-Sports Cup 2017,6,"$1,769",Mad Dogs Team
Russian e-Sports Cup 2017,6,"$1,769",DVK
Russian e-Sports Cup 2017,6,"$1,769",Gears of Destraction
Russian e-Sports Cup 2017,6,"$1,769",Doteri Dva
Russian e-Sports Cup 2017,6,"$1,769",SFTe-sports
Russian e-Sports Cup 2017,6,"$1,769",Josskie
Russian e-Sports Cup 2017,6,"$1,769",PiTER
Russian e-Sports Cup 2017,6,"$1,769",People
Russian e-Sports Cup 2017,6,"$1,769",Without Problems
Russian e-Sports Cup 2017,6,"$1,769",Hollow
Russian e-Sports Cup 2017,6,"$1,769",LaFlamme
Russian e-Sports Cup 2017,6,"$1,769",ANIMA.APACHE
Russian e-Sports Cup 2017,6,"$1,769",Life Breake
Russian e-Sports Cup 2017,6,"$1,769",YAROST TOPORA
Russian e-Sports Cup 2017,6,"$1,769",Ignore Ochir
Russian e-Sports Cup 2017,6,"$1,769",Top Team
Russian e-Sports Cup 2017,6,"$1,769",F.R.I.E.N.D.S.
Russian e-Sports Cup 2017,6,"$1,769",Vega Squadron
DreamLeague Season 7 EU Division,1,"$10,000",Team Secret
DreamLeague Season 7 EU Division,2,"$9,000",Team Liquid
DreamLeague Season 7 EU Division,3,"$9,000",Vega Squadron
DreamLeague Season 7 EU Division,4,"$8,000",Virtus.pro
DreamLeague Season 7 EU Division,5,"$8,000",Team Empire
DreamLeague Season 7 EU Division,6,"$6,000",Natus Vincere
DreamLeague Season 7 EU Division,7,"$5,000",mousesports
DreamLeague Season 7 EU Division,8,"$1,000",Elements Pro
Mr. Cat Invitational Europe,1,"$25,000",Virtus.pro
Mr. Cat Invitational Europe,2,"$12,500",Team Empire
Mr. Cat Invitational Europe,3,"$7,500",Team Secret
Mr. Cat Invitational Europe,4,"$5,000",Prodota Gaming
Mr. Cat Invitational Europe,4,"$5,000",Ninjas in Pyjamas
Mr. Cat Invitational Europe,4,"$5,000",Vega Squadron
Mr. Cat Invitational Europe,4,"$5,000",Chip+4
Mr. Cat Invitational Europe,4,"$5,000",Effect
Mr. Cat Invitational Europe,4,"$5,000",Cloud9
Mr. Cat Invitational Europe,4,"$5,000",Team Spirit
Dota2 Professional League Season 3 (2017 S1) - Top,1,"$32,668",Newbee
Dota2 Professional League Season 3 (2017 S1) - Top,2,"$18,149",LGD Gaming
Dota2 Professional League Season 3 (2017 S1) - Top,3,"$8,711",Vici Gaming
Dota2 Professional League Season 3 (2017 S1) - Top,3,"$8,711",Invictus Gaming
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",iG Vitality
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",Team VGJ
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",LGD.Forever Young
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",Wings Gaming
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",EHOME.Keen
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",Vici Gaming Potential
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",CDEC Gaming
Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",FTD club C
Elimination Mode 3.0,1,"$12,000",OG
Elimination Mode 3.0,2,"$8,000",compLexity Gaming
Elimination Mode 3.0,3,"$2,500",Team Onyx
Elimination Mode 3.0,3,"$2,500",Alliance
Elimination Mode 3.0,3,"$2,500",WanteD
Elimination Mode 3.0,3,"$2,500",Ad Finem
Elimination Mode 3.0,3,"$2,500",Team Freedom
Elimination Mode 3.0,3,"$2,500",Ninjas in Pyjamas
Russian e-Sports Cup 2016,1,"$17,100",Flipsid3 Tactics
Russian e-Sports Cup 2016,2,"$8,550",Cascade
Russian e-Sports Cup 2016,3,"$4,275",sQreen's Squad
Russian e-Sports Cup 2016,3,"$4,275",Team Slark
Russian e-Sports Cup 2016,3,"$4,275",CocaColiki
Russian e-Sports Cup 2016,3,"$4,275",DVK
Russian e-Sports Cup 2016,3,"$4,275",«??????????»
Russian e-Sports Cup 2016,3,"$4,275",DoTT
Russian e-Sports Cup 2016,3,"$4,275",3D
Russian e-Sports Cup 2016,3,"$4,275",Nyanpasu
Russian e-Sports Cup 2016,3,"$4,275",AlphaSense
Russian e-Sports Cup 2016,3,"$4,275",BlessedByGod
Russian e-Sports Cup 2016,3,"$4,275",EhShasBi
Russian e-Sports Cup 2016,3,"$4,275",4k average
Russian e-Sports Cup 2016,3,"$4,275",Chew Toy
Dota2 Professional League Season 2 - Top,1,"$238,000",Newbee
Dota2 Professional League Season 2 - Top,2,"$105,000",iG Vitality
Dota2 Professional League Season 2 - Top,3,"$70,000",LGD Gaming
Dota2 Professional League Season 2 - Top,4,"$56,000",Invictus Gaming
Dota2 Professional League Season 2 - Top,5,"$49,000",LGD.Forever Young
Dota2 Professional League Season 2 - Top,6,"$42,000",CDEC Gaming
Dota2 Professional League Season 2 - Top,7,"$35,000",Vici Gaming
Dota2 Professional League Season 2 - Top,8,"$35,000",FTD club C
Dota2 Professional League Season 2 - Top,9,"$35,000",EHOME
Dota2 Professional League Season 2 - Top,10,"$35,000",Wings Gaming
Dota2 ACE - Provisional,1,"$29,036",Newbee
Dota2 ACE - Provisional,2,"$14,518",Team VGJ
Dota2 ACE - Provisional,3,"$7,259",Invictus Gaming
Dota2 ACE - Provisional,4,"$4,355",LGD Gaming
Dota2 ACE - Provisional,5,"$1,452",LGD.Forever Young
Dota2 ACE - Provisional,5,"$1,452",FTD club C
Dota2 ACE - Provisional,5,"$1,452",CDEC Gaming
Dota2 ACE - Provisional,5,"$1,452",Vici Gaming
Dota2 ACE - Provisional,5,"$1,452",iG Vitality
Dota2 ACE - Provisional,5,"$1,452",Vici Gaming Potential
Dota2 ACE - Provisional,5,"$1,452",Wings Gaming
Dota2 ACE - Provisional,5,"$1,452",EHOME.Keen
Dota2 ACE - Provisional,5,"$1,452",DUOBAO
Dota2 ACE - Provisional,5,"$1,452",EHOME
Dota2 ACE - Provisional,5,"$1,452",Brave Heart
Dota2 ACE - Provisional,5,"$1,452",Newbee Young
Dota2 ACE - Provisional,5,"$1,452",FTD club A
Dota2 ACE - Provisional,5,"$1,452",MAX.Y
Dota2 ACE - Provisional,5,"$1,452",TongFu
Dota2 ACE - Provisional,5,"$1,452",RUSH B
Dota2 ACE - Provisional,5,"$1,452",Avalon Club
Dota2 ACE - Provisional,5,"$1,452",We Are Young
Dota2 ACE - Provisional,5,"$1,452",White Fries Gaming
Dota2 ACE - Provisional,5,"$1,452",CAVALRY
Dota2 ACE - Provisional,5,"$1,452",Rampage Gaming
Dota2 ACE - Provisional,5,"$1,452",EHOME.Luminous
China Top 2016,1,"$114,952",Evil Geniuses
China Top 2016,2,"$57,476",Newbee
China Top 2016,3,"$28,738",Digital Chaos
China Top 2016,3,"$28,738",Wings Gaming
Dota2 Professional League Season 2 - Secondary,1,"$34,000",Team VGJ
Dota2 Professional League Season 2 - Secondary,2,"$15,000",FTD club A
Dota2 Professional League Season 2 - Secondary,3,"$10,000",Newbee Young
Dota2 Professional League Season 2 - Secondary,4,"$8,000",EHOME.Keen
Dota2 Professional League Season 2 - Secondary,5,"$7,000",DUOBAO
Dota2 Professional League Season 2 - Secondary,6,"$6,000",We Are Young
Dota2 Professional League Season 2 - Secondary,7,"$5,000",Brave Heart
Dota2 Professional League Season 2 - Secondary,8,"$5,000",EHOME.Luminous
Dota2 Professional League Season 2 - Secondary,9,"$5,000",TongFu
Dota2 Professional League Season 2 - Secondary,10,"$5,000",Avalon Club
ASUS ROG DreamLeague Season 6,1,"$90,000",Team Liquid
ASUS ROG DreamLeague Season 6,2,"$45,000",Escape Gaming
ASUS ROG DreamLeague Season 6,3,"$30,000",Alliance
ASUS ROG DreamLeague Season 6,4,"$20,000",The Imperial
World Electronic Sports Games 2016 Asia Pacific Finals,1,"$29,340",To.be.or.not.to.be
World Electronic Sports Games 2016 Asia Pacific Finals,2,"$17,604",NoLifer5.Reborn
World Electronic Sports Games 2016 Asia Pacific Finals,3,"$8,802",s1 Lykos
World Electronic Sports Games 2016 Asia Pacific Finals,4,"$5,868",Signature.Trust
World Electronic Sports Games 2016 Asia Pacific Finals,5,"$2,934",MAX.Y
World Electronic Sports Games 2016 Asia Pacific Finals,5,"$2,934",TNC Pro Team
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",MVP Aegis
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",MVP Phoenix
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Slayers
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Da Teletubbies
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",90s Gaming
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Power Gaming
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",DeToNator
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",iClen
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Team Nation
World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Next Generation
World Cyber Arena 2016 AM Qualifiers,1,"$28,000",VINCE TE IPSUM
World Cyber Arena 2016 AM Qualifiers,2,"$14,000",Union Gaming BO
World Cyber Arena 2016 AM Qualifiers,3,"$7,000",Midas Club Elite
World Cyber Arena 2016 AM Qualifiers,4,"$1,500",Not Today
World Cyber Arena 2016 AM Qualifiers,5,"$1,500",Pichau
World Cyber Arena 2016 AM Qualifiers,5,"$1,500",Apolo Gaming
World Cyber Arena 2016 AM Qualifiers,5,"$1,500",AlphaPro 
World Cyber Arena 2016 AM Qualifiers,5,"$1,500",Res Non Verba
ROG MASTERS 2016,1,"$71,250",Team Secret
ROG MASTERS 2016,2,"$33,750",Execration
ROG MASTERS 2016,3,"$15,000",EHOME.X
ROG MASTERS 2016,3,"$15,000",Mineski.GGNetwork
ROG MASTERS 2016,5,"$3,750",Fnatic
ROG MASTERS 2016,5,"$3,750",Entity eSports
ROG MASTERS 2016,5,"$3,750",Big and Black
ROG MASTERS 2016,5,"$3,750",Natural 9
ROG MASTERS 2016,5,"$3,750",MOL
ROG MASTERS 2016,5,"$3,750",MAX.X
ROG MASTERS 2016,5,"$3,750",The Mongolz
ROG MASTERS 2016,5,"$3,750",Aggressive 5
World Cyber Arena 2016 Chinese Qualifiers S3,1,"$29,360",Newbee
World Cyber Arena 2016 Chinese Qualifiers S3,2,"$14,680",LGD Gaming
World Cyber Arena 2016 Chinese Qualifiers S3,3,"$7,340",EHOME
World Cyber Arena 2016 Chinese Qualifiers S3,4,"$1,468",Team VGJ
World Cyber Arena 2016 Chinese Qualifiers S3,5,"$1,468",EHOME.Keen
World Cyber Arena 2016 Chinese Qualifiers S3,5,"$1,468",Invictus Gaming
World Cyber Arena 2016 Chinese Qualifiers S3,7,"$1,468",TongFu
World Cyber Arena 2016 Chinese Qualifiers S3,7,"$1,468",LGD.Forever Young
DreamLeague Season 6 League Play,1,"$10,000",Escape Gaming
DreamLeague Season 6 League Play,1,"$10,000",Virtus.pro
DreamLeague Season 6 League Play,3,"$10,000",The Imperial
DreamLeague Season 6 League Play,4,"$8,000",Team Liquid
DreamLeague Season 6 League Play,5,"$7,000",Alliance
DreamLeague Season 6 League Play,6,"$6,000",Vega Squadron
DreamLeague Season 6 League Play,7,"$5,000",Ad Finem
DreamLeague Season 6 League Play,7,"$5,000",Team NP
World Electronic Sports Games 2016 Americas Finals,1,"$30,000",Infamous
World Electronic Sports Games 2016 Americas Finals,2,"$18,000",Kingao+4
World Electronic Sports Games 2016 Americas Finals,3,"$9,000",Team DileCom
World Electronic Sports Games 2016 Americas Finals,4,"$6,000",T Show
World Electronic Sports Games 2016 Americas Finals,5,"$3,000",Vultur
World Electronic Sports Games 2016 Americas Finals,5,"$3,000",Team One Ecuador
World Electronic Sports Games 2016 Americas Finals,7,"$3,000",Rebirth eSports
World Electronic Sports Games 2016 Americas Finals,7,"$3,000",Learn2Gank
FACEIT Invitational,1,"$10,000",Team Secret
FACEIT Invitational,2,"$7,000",Vega Squadron
FACEIT Invitational,3,"$4,000",Team Liquid
FACEIT Invitational,3,"$4,000",Team Empire
FACEIT Invitational,3,"$4,000",Ad Finem
FACEIT Invitational,3,"$4,000",Alliance
FACEIT Invitational,3,"$4,000",Escape Gaming
FACEIT Invitational,3,"$4,000",OG
Nanyang Dota 2 Championships  - Cruise Cup #1,1,"$22,290",Wings Gaming
Nanyang Dota 2 Championships  - Cruise Cup #1,2,"$11,888",Newbee
Nanyang Dota 2 Championships  - Cruise Cup #1,3,"$7,430",Invictus Gaming
Nanyang Dota 2 Championships  - Cruise Cup #1,4,"$2,972",iG Vitality
World Electronic Sports Games 2016 Europe & CIS Finals,1,"$29,970",The Imperial
World Electronic Sports Games 2016 Europe & CIS Finals,2,"$17,982",Horde
World Electronic Sports Games 2016 Europe & CIS Finals,3,"$8,991",Alliance
World Electronic Sports Games 2016 Europe & CIS Finals,4,"$5,994",Ukraine
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Comanche
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Romania
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Fantastic Five
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Ne Rus?
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Denmark
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",woof
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Wombat Gaming
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Que La Famille
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",NecroRaisers
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",LVLUP
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Zero Hoots Given
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",ALTERNATE aTTaX
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Zeta Pegasi
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",XENEX Gaming
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Paragon eSports
World Electronic Sports Games 2016 Europe & CIS Finals,5,"$2,997",Butterfly Effect
Shanghai Dota 2 Open #2,1,"$29,966",Newbee
Shanghai Dota 2 Open #2,2,"$14,983",CDEC Gaming
Shanghai Dota 2 Open #2,3,"$8,990",EHOME
Shanghai Dota 2 Open #2,4,"$5,993",LGD.Forever Young
Shanghai Dota 2 Open #2,5,"$4,495",EHOME.Keen
Shanghai Dota 2 Open #2,5,"$4,495",Vici Gaming
Shanghai Dota 2 Open #2,7,"$4,495",Brave Heart
Shanghai Dota 2 Open #2,7,"$4,495",iG Vitality
Shanghai Dota 2 Open #2,7,"$4,495",Team VGJ
Shanghai Dota 2 Open #2,7,"$4,495",Invictus Gaming
