,team,player,bday,tour,start,end,startelo32,startelo64,endelo32,endelo64
0,Evil Geniuses,Arteezy,1996-07-01,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1181.8025299861438,1319.107765631736,1195.010306476049,1329.0101239117082
1,Evil Geniuses,SumaiL,1999-02-13,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1181.8025299861438,1319.107765631736,1195.010306476049,1329.0101239117082
2,Evil Geniuses,UNiVeRsE,1989-10-11,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1181.8025299861438,1319.107765631736,1195.010306476049,1329.0101239117082
3,Evil Geniuses,Fear,1988-02-19,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1181.8025299861438,1319.107765631736,1195.010306476049,1329.0101239117082
4,Evil Geniuses,Ppd,1991-11-02,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1181.8025299861438,1319.107765631736,1195.010306476049,1329.0101239117082
5,Team Secret,W33,1995-03-06,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
6,Team Secret,MiSeRy,1991-07-14,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
7,Team Secret,Pieliedie,N/A,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
8,Team Secret,Puppey,1990-03-06,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
9,Team Liquid,MATUMBAMAN,1995-03-03,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
10,Team Liquid,MinD ContRoL,1995-01-20,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
11,Team Liquid,JerAx,1992-05-07,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
12,Team Liquid,KuroKy,1992-10-28,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
13,Natus Vincere,Ditya Ra,1995-03-26,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1038.441043045917,1106.1876417119302,1050.0924203057793,1135.1929979549323
14,Natus Vincere,Dendi,1989-12-30,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1038.441043045917,1106.1876417119302,1050.0924203057793,1135.1929979549323
15,Natus Vincere,Ax.Mo,N/A,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1038.441043045917,1106.1876417119302,1050.0924203057793,1135.1929979549323
16,Natus Vincere,SoNNeikO,1997-05-16,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1038.441043045917,1106.1876417119302,1050.0924203057793,1135.1929979549323
17,Natus Vincere,Artstyle,1989-04-20,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1038.441043045917,1106.1876417119302,1050.0924203057793,1135.1929979549323
18,Vega Squadron,Mag~,1990-05-10,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1047.459508541468,1086.4439439603848,1055.7124708853967,1114.0759626307447
19,Vega Squadron,Solo,1990-08-07,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1047.459508541468,1086.4439439603848,1055.7124708853967,1114.0759626307447
20,Vega Squadron,CemaTheSlayeR,1994-03-09,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1047.459508541468,1086.4439439603848,1055.7124708853967,1114.0759626307447
21,Alliance,Loda,1988-03-19,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1098.512047528054,1194.0919575115324,1200.5841667582358,1377.8586042413035
22,Alliance,S4,1992-04-01,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1098.512047528054,1194.0919575115324,1200.5841667582358,1377.8586042413035
23,Alliance,AdmiralBulldog,1990-12-19,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1098.512047528054,1194.0919575115324,1200.5841667582358,1377.8586042413035
24,Alliance,EGM,1991-06-04,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1098.512047528054,1194.0919575115324,1200.5841667582358,1377.8586042413035
25,Alliance,Akke,1988-05-26,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1098.512047528054,1194.0919575115324,1200.5841667582358,1377.8586042413035
26,Virtus.pro,Silent,1992-12-03,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1208.9007604836374,1303.7956433120853,1167.3228160909273,1222.712121683689
27,Virtus.pro,G,1992-04-16,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1208.9007604836374,1303.7956433120853,1167.3228160909273,1222.712121683689
28,Virtus.pro,DkPhobos,1989-08-27,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1208.9007604836374,1303.7956433120853,1167.3228160909273,1222.712121683689
29,Virtus.pro,Lil,1995-12-24,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1208.9007604836374,1303.7956433120853,1167.3228160909273,1222.712121683689
30,Virtus.pro,Fng,1995-09-24,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1208.9007604836374,1303.7956433120853,1167.3228160909273,1222.712121683689
31,Team Spirit,RAMZES666,1999-04-25,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
32,Team Spirit,Iceberg,1997-04-13,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
33,Team Spirit,AfterLife,1997-03-13,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
34,Team Spirit,Goblak,1988-12-04,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
35,Team Spirit,ALWAYSWANNAFLY,1991-03-06,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1150.7320426604222,1242.0483431311936,1028.3400786949007,1046.6060001500714
36,LGD Gaming,Sylar,1993-12-20,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
37,LGD Gaming,Maybe,1995-12-16,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
38,LGD Gaming,ROtK,1992-03-13,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
39,LGD Gaming,MMY,1989-09-10,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
40,Wings Gaming,BLink,1992-07-31,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
41,Wings Gaming,Faith bian,1998-03-21,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
42,Wings Gaming,Shadow (player),1997-03-21,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
43,Wings Gaming,Iceice,1995-08-06,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
44,CompLexity Gaming,Chessie,1992-12-26,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
45,CompLexity Gaming,Limmp,1995-05-31,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
46,CompLexity Gaming,Zfreek,N/A,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
47,CompLexity Gaming,Handsken,1994-04-24,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,918.3473419252922,912.7631109022013,1103.6681445354166,1195.3129418081471
48,Fnatic,Mushi,1990-11-27,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1038.441043045917,1106.1876417119302,1050.0924203057793,1135.1929979549323
49,Fnatic,Ohaiyo,1993-03-31,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1038.441043045917,1106.1876417119302,1050.0924203057793,1135.1929979549323
