,Nationality,PlayerName,Name,Birthday
0,Russia,.Ark,Egor Zhabotinskii,1997-07-07
1,Denmark,13abyKnight,Jon Andersen,1992-06-15
2,Canada,1437,Sivatheeban Sivanathapillai,N/A
3,China,290,Zeng Chen,N/A
4,United Kingdom,2GD,James Harding,1982-12-29
5,Israel,33,Neta Shapira,1997-04-17
6,Malaysia,343,Adam Erwann,N/A
7,Brazil,4DR,Adriano de,1993-07-13
8,China,5400,Yang Huaining,N/A
9,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09
10,France,7ckngMad,Sébastien Debs,1992-05-11
11,China,820,Zou Yitian,1990-04-13
12,China,86,Chen Yuxuan,N/A
13,China,MKSos,Liu Yufeng,N/A
14,China,897,Tang Zhirui,N/A
15,Russia,9pasha,Pavel Khvastunov,1992-06-30
16,China,Dogf1ghts,Gao Tianpeng,1995-12-05
17,Thailand,AabBAA,Chanon Chiwpreecha,1990-09-07
18,Philippines,Ab1ng,Avelino Parungao,N/A
19,Philippines,Abed,Abed Azel,2000-08-02
20,Peru,Accel,Christian Cruz,1995-10-20
21,Denmark,Ace,Marcus Hoelgaard,1994-01-19
22,Sweden,AdmiralBulldog,Henrik Ahnberg,1990-12-19
23,Russia,Admiration,Igor Kalnysh,N/A
24,China,Adong,Chen Yingdong,N/A
25,Malaysia,ADTR,Ahmad Syazwan,N/A
26,Russia,Afoninje,Andrey Afonin,1996-09-27
27,Jordan,AfrOmoush,Mohammad Khalil,1996-12-06
28,Russia,AfterLife,Vasily Shishkin,1997-03-13
29,China,Agressif,Sun Zheng,1991-11-11
30,Malaysia,Ahfu,Tue Soon,1994-06-06
31,Malaysia,Ahjit,Lai Jay,N/A
32,China,Air,Yin Yuxiao,N/A
33,Sweden,Akke,Joakim Akterhall,1988-05-26
34,Germany,Alex,Alexander Reinhardt,1991-09-07
35,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15
36,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06
37,China,Ame,Wang Chunyu,1997-04-07
38,Germany,Amoment,Michael German,N/A
39,Australia,Ana,Anathan Pham,1999-10-26
40,USA,AnneeDroid,Annie LeClair,1995-04-29
41,China,Another,Wang Wenjun,N/A
42,Sweden,Apemother,Joel Larsson,1990-12-14
43,Romania,Arise,Turtoi Ionut,1993-04-08
44,Mongolia,Ariunbolor,Ariunbolor Altantsetseg,N/A
45,Philippines,Armel,Armel Paul,2000-01-20
46,Russia,ARS-ART,Sergey Revin,1988-08-12
47,Russia,ArsZeeqq,Arseniy Usov,N/A
48,Canada,Arteezy,Artour Babaev,1996-07-01
49,Ukraine,Artes,Artem Gorobey,1995-09-07
50,Ukraine,Artstyle,Ivan Antonov,1989-04-20
51,United Arab Emirates,Attacker,Mohammed Almheiri,1994-07-16
52,Peru,Atun,Juan Ochoa,N/A
53,Canada,Aui 2000,Kurtis Daniel,1992-10-02
54,China,AutumnWindz,Joshua Lee,N/A
55,Indonesia,Aville,Adit Rosenda,N/A
56,China,Awoke,Ye Jing,1987-11-30
57,Russia,Ax.Mo,Dmitry Morozov,N/A
58,China,Axx,Bi Xia,N/A
59,Ukraine,Axypa,Bogdan Boychuk,N/A
60,USA,Ayesee,Aaron Chambers,1984-12-05
61,China,Ayo,Fan Tianyou,N/A
62,Canada,B,Scott Jensen,N/A
63,Ukraine,BafiK,Aleksey Bafadarov,N/A
64,Brazil,Baga,Thárcio Medeiros,1994-03-31
65,Denmark,Balsam,Andreas Løchte,1991-10-27
66,China,Banana,Wang Jiao,N/A
67,USA,BananaSlamJamma,Brian Canavan,N/A
68,South Korea,BaNhwa,Yoon Deok,N/A
69,Russia,Barash,Dmitry Lednikov,N/A
70,Brazil,Bardo,Lucas Raphael,N/A
71,Bulgaria,Bashruk,Ivan Valev,1996-12-12
72,Australia,Basskip,Cameron Scott,1993-05-09
73,China,BBC,Zhang Hongsheng,N/A
74,USA,Bdiz,Robert Tinnes,N/A
75,United Kingdom,Beesa,Alder Beano,1993-12-24
76,Malaysia,Ben,Benjamin Cheong,N/A
77,Philippines,Benhur,Benhur Lawis,1997-03-05
78,Peru,Benjaz,Benjamín Lanao,1993-09-30
79,Ukraine,Bignum,Danil Shehovtsov,N/A
80,Philippines,Bimbo,Ryan Jay,1995-11-15
81,Vietnam,Biryu,Hà Qu?c,N/A
82,Denmark,Biver,Malthe Winther,N/A
83,USA,Bkid,Josh Choi,1989-05-08
84,Germany,Black^,Dominik Reitmeier,1993-05-27
85,USA,Blaze,David Dillon,N/A
86,Germany,Blazemon,Jamal Sohail,1996-02-13
87,China,BLink,Zhou Yang,1992-07-31
88,USA,Blitz,William Lee,1990-05-21
89,USA,Bloody Nine,Daniel Foster,1992-11-11
90,Russia,Blowyourbrain,Vladislav Morozyuk,1992-10-03
91,China,BoBoKa,Ye Zhibiao,1997-01-06
92,Philippines,Bok,Jun Kanehara,N/A
93,Romania,BOne7,Pittner Armand,1991-02-20
94,Philippines,Boombacs,Marvin Rushton,1993-01-06
95,Thailand,Boombell,Anurat Praianun,1990-06-30
96,Canada,Boris,Bill Oliver,N/A
97,Sweden,Boxi,Samuel Svahn,N/A
98,USA,Brax,Braxton Paulson,N/A
99,Argentina,Bruno,Bruno Carlucci,N/A
