team,player,tour,start,end,startelo32,startelo64,endelo32,endelo64
Team Secret,Ace,DreamLeague Season 8,2017-12-01,2017-12-03,1201.6285938730016,1311.3505649412891,1287.343877873076,1460.7119524903362
Team Secret,MidOne,DreamLeague Season 8,2017-12-01,2017-12-03,1201.6285938730016,1311.3505649412891,1287.343877873076,1460.7119524903362
Team Secret,Fata,DreamLeague Season 8,2017-12-01,2017-12-03,1201.6285938730016,1311.3505649412891,1287.343877873076,1460.7119524903362
Team Secret,YapzOr,DreamLeague Season 8,2017-12-01,2017-12-03,1201.6285938730016,1311.3505649412891,1287.343877873076,1460.7119524903362
Team Secret,Puppey,DreamLeague Season 8,2017-12-01,2017-12-03,1201.6285938730016,1311.3505649412891,1287.343877873076,1460.7119524903362
Natus Vincere,Crystallize,DreamLeague Season 8,2017-12-01,2017-12-03,1149.0410373334357,1221.2915801775987,1143.6602002903958,1232.2100115545675
Natus Vincere,Dendi,DreamLeague Season 8,2017-12-01,2017-12-03,1149.0410373334357,1221.2915801775987,1143.6602002903958,1232.2100115545675
Natus Vincere,GeneRaL,DreamLeague Season 8,2017-12-01,2017-12-03,1149.0410373334357,1221.2915801775987,1143.6602002903958,1232.2100115545675
Natus Vincere,RodjER,DreamLeague Season 8,2017-12-01,2017-12-03,1149.0410373334357,1221.2915801775987,1143.6602002903958,1232.2100115545675
Natus Vincere,SoNNeikO,DreamLeague Season 8,2017-12-01,2017-12-03,1149.0410373334357,1221.2915801775987,1143.6602002903958,1232.2100115545675
Team Liquid,MATUMBAMAN,DreamLeague Season 8,2017-12-01,2017-12-03,1261.279641570299,1348.6552131895894,1216.2295519717168,1301.1416551027023
Team Liquid,Miracle-,DreamLeague Season 8,2017-12-01,2017-12-03,1261.279641570299,1348.6552131895894,1216.2295519717168,1301.1416551027023
Team Liquid,MinD ContRoL,DreamLeague Season 8,2017-12-01,2017-12-03,1261.279641570299,1348.6552131895894,1216.2295519717168,1301.1416551027023
Team Liquid,GH,DreamLeague Season 8,2017-12-01,2017-12-03,1261.279641570299,1348.6552131895894,1216.2295519717168,1301.1416551027023
Team Liquid,KuroKy,DreamLeague Season 8,2017-12-01,2017-12-03,1261.279641570299,1348.6552131895894,1216.2295519717168,1301.1416551027023
Virtus.pro,RAMZES666,DreamLeague Season 8,2017-12-01,2017-12-03,1162.6006022486574,1221.0158141190864,1126.8275376988584,1154.1713074418594
Virtus.pro,Noone,DreamLeague Season 8,2017-12-01,2017-12-03,1162.6006022486574,1221.0158141190864,1126.8275376988584,1154.1713074418594
Virtus.pro,9pasha,DreamLeague Season 8,2017-12-01,2017-12-03,1162.6006022486574,1221.0158141190864,1126.8275376988584,1154.1713074418594
Virtus.pro,Lil,DreamLeague Season 8,2017-12-01,2017-12-03,1162.6006022486574,1221.0158141190864,1126.8275376988584,1154.1713074418594
Virtus.pro,Solo,DreamLeague Season 8,2017-12-01,2017-12-03,1162.6006022486574,1221.0158141190864,1126.8275376988584,1154.1713074418594
Newbee,Moogy,DreamLeague Season 8,2017-12-01,2017-12-03,1248.5140092946115,1406.848507367636,1198.241787666155,1283.4451498258927
Newbee,Sccc,DreamLeague Season 8,2017-12-01,2017-12-03,1248.5140092946115,1406.848507367636,1198.241787666155,1283.4451498258927
Newbee,Kpii,DreamLeague Season 8,2017-12-01,2017-12-03,1248.5140092946115,1406.848507367636,1198.241787666155,1283.4451498258927
Newbee,Kaka,DreamLeague Season 8,2017-12-01,2017-12-03,1248.5140092946115,1406.848507367636,1198.241787666155,1283.4451498258927
Newbee,Faith,DreamLeague Season 8,2017-12-01,2017-12-03,1248.5140092946115,1406.848507367636,1198.241787666155,1283.4451498258927
Fnatic,EternaLEnVy,DreamLeague Season 8,2017-12-01,2017-12-03,1115.343375795882,1158.587209498683,1113.7669472775758,1156.4197560323069
Fnatic,Abed,DreamLeague Season 8,2017-12-01,2017-12-03,1115.343375795882,1158.587209498683,1113.7669472775758,1156.4197560323069
Fnatic,Ohaiyo,DreamLeague Season 8,2017-12-01,2017-12-03,1115.343375795882,1158.587209498683,1113.7669472775758,1156.4197560323069
Fnatic,DJ,DreamLeague Season 8,2017-12-01,2017-12-03,1115.343375795882,1158.587209498683,1113.7669472775758,1156.4197560323069
Fnatic,Pieliedie,DreamLeague Season 8,2017-12-01,2017-12-03,1115.343375795882,1158.587209498683,1113.7669472775758,1156.4197560323069
Evil Geniuses,Arteezy,DreamLeague Season 8,2017-12-01,2017-12-03,1140.686838676624,1217.171015492839,1175.5424776150405,1271.058371919545
Evil Geniuses,UNiVeRsE,DreamLeague Season 8,2017-12-01,2017-12-03,1140.686838676624,1217.171015492839,1175.5424776150405,1271.058371919545
Evil Geniuses,Cr1t-,DreamLeague Season 8,2017-12-01,2017-12-03,1140.686838676624,1217.171015492839,1175.5424776150405,1271.058371919545
Evil Geniuses,Fear,DreamLeague Season 8,2017-12-01,2017-12-03,1140.686838676624,1217.171015492839,1175.5424776150405,1271.058371919545
Infamous,Kotar? Hayama,DreamLeague Season 8,2017-12-01,2017-12-03,1057.8499603504367,1087.7360274837763,1057.0593095943786,1086.5369159192503
Infamous,Papita,DreamLeague Season 8,2017-12-01,2017-12-03,1057.8499603504367,1087.7360274837763,1057.0593095943786,1086.5369159192503
Infamous,StingeR,DreamLeague Season 8,2017-12-01,2017-12-03,1057.8499603504367,1087.7360274837763,1057.0593095943786,1086.5369159192503
Infamous,Scofield,DreamLeague Season 8,2017-12-01,2017-12-03,1057.8499603504367,1087.7360274837763,1057.0593095943786,1086.5369159192503
Infamous,Accel,DreamLeague Season 8,2017-12-01,2017-12-03,1057.8499603504367,1087.7360274837763,1057.0593095943786,1086.5369159192503
Team Liquid,MATUMBAMAN,ESL One Hamburg 2017,2017-10-26,2017-10-29,1297.2958080820863,1454.2380158335072,1252.5339805025928,1333.489705491618
Team Liquid,Miracle-,ESL One Hamburg 2017,2017-10-26,2017-10-29,1297.2958080820863,1454.2380158335072,1252.5339805025928,1333.489705491618
Team Liquid,MinD ContRoL,ESL One Hamburg 2017,2017-10-26,2017-10-29,1297.2958080820863,1454.2380158335072,1252.5339805025928,1333.489705491618
Team Liquid,GH,ESL One Hamburg 2017,2017-10-26,2017-10-29,1297.2958080820863,1454.2380158335072,1252.5339805025928,1333.489705491618
Team Liquid,KuroKy,ESL One Hamburg 2017,2017-10-26,2017-10-29,1297.2958080820863,1454.2380158335072,1252.5339805025928,1333.489705491618
Newbee,Moogy,ESL One Hamburg 2017,2017-10-26,2017-10-29,1153.452612788153,1204.0785817964884,1146.4360121827124,1220.8543519868863
Newbee,Sccc,ESL One Hamburg 2017,2017-10-26,2017-10-29,1153.452612788153,1204.0785817964884,1146.4360121827124,1220.8543519868863
Newbee,Kpii,ESL One Hamburg 2017,2017-10-26,2017-10-29,1153.452612788153,1204.0785817964884,1146.4360121827124,1220.8543519868863
Newbee,Faith,ESL One Hamburg 2017,2017-10-26,2017-10-29,1153.452612788153,1204.0785817964884,1146.4360121827124,1220.8543519868863
Newbee,Kaka,ESL One Hamburg 2017,2017-10-26,2017-10-29,1153.452612788153,1204.0785817964884,1146.4360121827124,1220.8543519868863
Team Secret,Ace,ESL One Hamburg 2017,2017-10-26,2017-10-29,1167.8118479406348,1232.7839033443001,1182.9498099068771,1285.1777763003474
Team Secret,MidOne,ESL One Hamburg 2017,2017-10-26,2017-10-29,1167.8118479406348,1232.7839033443001,1182.9498099068771,1285.1777763003474
Team Secret,Fata,ESL One Hamburg 2017,2017-10-26,2017-10-29,1167.8118479406348,1232.7839033443001,1182.9498099068771,1285.1777763003474
Team Secret,YapzOr,ESL One Hamburg 2017,2017-10-26,2017-10-29,1167.8118479406348,1232.7839033443001,1182.9498099068771,1285.1777763003474
Team Secret,Puppey,ESL One Hamburg 2017,2017-10-26,2017-10-29,1167.8118479406348,1232.7839033443001,1182.9498099068771,1285.1777763003474
Virtus.pro,RAMZES666,ESL One Hamburg 2017,2017-10-26,2017-10-29,1232.8900176196282,1345.7131783048094,1279.3986414863507,1419.5747005774576
Virtus.pro,Noone,ESL One Hamburg 2017,2017-10-26,2017-10-29,1232.8900176196282,1345.7131783048094,1279.3986414863507,1419.5747005774576
Virtus.pro,9pasha,ESL One Hamburg 2017,2017-10-26,2017-10-29,1232.8900176196282,1345.7131783048094,1279.3986414863507,1419.5747005774576
Virtus.pro,Lil,ESL One Hamburg 2017,2017-10-26,2017-10-29,1232.8900176196282,1345.7131783048094,1279.3986414863507,1419.5747005774576
Virtus.pro,Solo,ESL One Hamburg 2017,2017-10-26,2017-10-29,1232.8900176196282,1345.7131783048094,1279.3986414863507,1419.5747005774576
Keen Gaming,Zhizhizhi,ESL One Hamburg 2017,2017-10-26,2017-10-29,1075.8333141923115,1100.2844414224792,1071.8743768985269,1105.4349143957697
Keen Gaming,?,ESL One Hamburg 2017,2017-10-26,2017-10-29,1075.8333141923115,1100.2844414224792,1071.8743768985269,1105.4349143957697
Keen Gaming,Dark,ESL One Hamburg 2017,2017-10-26,2017-10-29,1075.8333141923115,1100.2844414224792,1071.8743768985269,1105.4349143957697
Keen Gaming,Rong,ESL One Hamburg 2017,2017-10-26,2017-10-29,1075.8333141923115,1100.2844414224792,1071.8743768985269,1105.4349143957697
Fnatic,EternaLEnVy,ESL One Hamburg 2017,2017-10-26,2017-10-29,1030.565449796712,1046.013583288444,1003.2538662467733,994.4542087655474
Fnatic,Ohaiyo,ESL One Hamburg 2017,2017-10-26,2017-10-29,1030.565449796712,1046.013583288444,1003.2538662467733,994.4542087655474
Fnatic,DJ,ESL One Hamburg 2017,2017-10-26,2017-10-29,1030.565449796712,1046.013583288444,1003.2538662467733,994.4542087655474
Fnatic,Pieliedie,ESL One Hamburg 2017,2017-10-26,2017-10-29,1030.565449796712,1046.013583288444,1003.2538662467733,994.4542087655474
Evil Geniuses,Arteezy,ESL One Hamburg 2017,2017-10-26,2017-10-29,1082.5915260829795,1113.767877401151,1095.8062262960898,1134.4358595398649
Evil Geniuses,UNiVeRsE,ESL One Hamburg 2017,2017-10-26,2017-10-29,1082.5915260829795,1113.767877401151,1095.8062262960898,1134.4358595398649
Evil Geniuses,Cr1t-,ESL One Hamburg 2017,2017-10-26,2017-10-29,1082.5915260829795,1113.767877401151,1095.8062262960898,1134.4358595398649
Evil Geniuses,Fear,ESL One Hamburg 2017,2017-10-26,2017-10-29,1082.5915260829795,1113.767877401151,1095.8062262960898,1134.4358595398649
SG e-sports,Costabile,ESL One Hamburg 2017,2017-10-26,2017-10-29,1055.7713153106477,1083.874176198709,1041.5626132065659,1055.0363509042143
SG e-sports,Liposa,ESL One Hamburg 2017,2017-10-26,2017-10-29,1055.7713153106477,1083.874176198709,1041.5626132065659,1055.0363509042143
SG e-sports,Bardo,ESL One Hamburg 2017,2017-10-26,2017-10-29,1055.7713153106477,1083.874176198709,1041.5626132065659,1055.0363509042143
SG e-sports,Thiolicor,ESL One Hamburg 2017,2017-10-26,2017-10-29,1055.7713153106477,1083.874176198709,1041.5626132065659,1055.0363509042143
OG,N0tail,The International 2017,2017-08-02,2017-08-12,1113.7879906372461,1185.4024053671626,1125.2058655098685,1203.79234683011
OG,Ana,The International 2017,2017-08-02,2017-08-12,1113.7879906372461,1185.4024053671626,1125.2058655098685,1203.79234683011
OG,S4,The International 2017,2017-08-02,2017-08-12,1113.7879906372461,1185.4024053671626,1125.2058655098685,1203.79234683011
