country,name,dob,team,player,tour,start,end,startelo32,startelo64,endelo32,endelo64
Denmark,Jon Andersen,1992-06-15,Cloud9,13abyKnight,World Electronic Sports Games 2016,2017-01-12,2017-01-15,,,,
Israel,Neta Shapira,1997-04-17,HellRaisers,33,The International 2017,2017-08-02,2017-08-12,992.3533068857015,990.1309286985629,992.8617641155336,990.7871601675047
Israel,Neta Shapira,1997-04-17,Prodota Gaming,33,World Cyber Arena 2016,2016-12-14,2016-12-16,1159.3301223183266,1203.327531544078,1099.1238492899085,1099.8322708670441
Israel,Neta Shapira,1997-04-17,Prodota Gaming,33,World Cyber Arena 2016,2016-12-14,2016-12-16,1159.3301223183266,1203.327531544078,1150.8658326920004,1184.621267705638
Russia,Stanislav Glushan,1992-11-09,Virtus.pro,BzzIsPerfect,XMG Captains Draft 2.0,2014-10-31,2014-12-21,1175.8614803588518,1293.2925696581358,1177.1905526319367,1282.8032434138581
Russia,Stanislav Glushan,1992-11-09,Virtus.pro,BzzIsPerfect,ASUS ROG DreamLeague Season 2,2014-10-06,2014-11-29,1084.2189610046162,1144.2217332286764,1154.8745390185304,1229.0100063925427
Russia,Stanislav Glushan,1992-11-09,Virtus.Pro,BzzIsPerfect,StarLadder StarSeries Season 10,2014-08-15,2014-10-26,1047.7979707504212,1107.301876533604,1098.5848770176356,1142.274107127824
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,Dota Pit League Season 3,2015-01-21,2015-07-12,1058.0366269467772,1125.1531006745668,1000.9903661096556,1005.816375242128
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,ESL One Frankfurt 2015,2015-06-20,2015-06-21,1001.1522264884959,1006.7669739055788,1001.1443255068608,1006.7205717987977
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,ASUS ROG DreamLeague Season 3,2015-03-28,2015-06-15,1214.7906846331896,1337.503315164368,1035.3362171918432,1049.2404964793006
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,joinDOTA MLG Pro League Season 2,2015-04-20,2015-06-07,1146.3805831414259,1169.026671554599,1073.0040739721583,1093.2451212748254
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,i-League Season 3,2015-04-06,2015-05-23,1211.7322178082122,1284.6549338608534,1137.3341013489405,1158.6194361763282
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,StarLadder StarSeries Season 12,2015-03-09,2015-04-26,1043.3791247717888,1107.583617478517,1133.8907310714392,1187.4529460658118
France,Sébastien Debs,1992-05-11,Denial eSports,7ckngMad,Dota Pit League Season 2,2014-09-25,2014-12-23,1025.3135479539585,1044.9824841854918,980.2885238159897,975.5517321451387
China,Zou Yitian,1990-04-13,Old Boys,820,i-League Season 1,2014-08-11,2014-09-28,,,,
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,DreamLeague Season 8,2017-12-01,2017-12-03,1162.6006022486579,1221.015814119086,1126.8275376988588,1154.1713074418592
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,ESL One Hamburg 2017,2017-10-26,2017-10-29,1232.8900176196282,1345.713178304809,1279.398641486351,1419.5747005774576
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The International 2017,2017-08-02,2017-08-12,1184.6098850071166,1294.7534221567475,1181.2532382441698,1281.7630808624926
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,DOTA Summit 7,2017-06-14,2017-06-18,1174.1919860557089,1247.2324058738218,1227.0390928695547,1365.0244588883722
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,EPICENTER 2017,2017-06-04,2017-06-11,1163.4730364657555,1216.3883894392916,1151.1033507657535,1200.1214340133376
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The Kiev Major 2017,2017-04-24,2017-04-30,1168.291641504546,1225.1101027682064,1216.3598725896945,1287.621295177339
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,Dota Pit League Season 5,2017-01-20,2017-01-22,1221.272499759171,1296.5494967370785,1182.8749711850826,1227.5135949457167
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The Boston Major 2016,2016-12-03,2016-12-10,1332.1204160278262,1502.5182614697235,1286.0877497597592,1392.465456996571
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The Summit 6,2016-11-16,2016-11-20,1241.549759740686,1315.0949886694395,1284.943151811226,1415.1275596501916
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,The International 2017,2017-08-02,2017-08-12,1060.183857585473,1134.869447340661,1043.2963850293384,1041.1144014932986
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Galaxy Battles,2017-06-15,2017-06-18,983.8460636408212,1012.5437530666808,989.4974496992083,1036.962002097935
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,ZOTAC Cup Masters,2017-05-30,2017-06-03,973.6585883882184,970.1940072508064,992.1039907271204,1019.4169322939543
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,The Kiev Major 2017,2017-04-24,2017-04-30,1030.652195163008,1008.9376743009453,981.1281992322323,934.9737555109813
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Dota 2 Asia Championships 2017,2017-03-27,2017-04-04,1106.0175663777068,1175.8078358755533,1094.5223557385575,1163.7545474906988
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,StarLadder i-League StarSeries Season 3,2017-02-23,2017-02-26,1112.8905458508534,1123.2149139592652,1079.1604265609374,1058.7917356873586
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,World Cyber Arena 2016,2016-12-14,2016-12-16,1127.35784947867,1182.9180188845062,1159.4392108615675,1257.5061428282954
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Mars Dota 2 League 2016 Autumn,2016-09-28,2016-10-02,1125.139923311695,1147.6022314017039,1073.4360114432711,1059.1332959267477
Thailand,Chanon Chiwpreecha,1990-09-07,Signature.Trust,AabBAA,World Electronic Sports Games 2016,2017-01-12,2017-01-15,,,,
Philippines,Abed Azel,2000-08-02,Fnatic,Abed,DreamLeague Season 8,2017-12-01,2017-12-03,1149.041037333436,1221.2915801775985,1113.7669472775765,1156.4197560323069
Philippines,Abed Azel,2000-08-02,Digital Chaos,Abed,The International 2017,2017-08-02,2017-08-12,1106.9878209827186,1192.7404221266006,1052.3633482470038,1074.4041470384716
Philippines,Abed Azel,2000-08-02,Digital Chaos,Abed,DOTA Summit 7,2017-06-14,2017-06-18,1096.4426646529043,1133.0058944376215,1100.7723610455416,1141.0941979608465
Philippines,Abed Azel,2000-08-02,Digital Chaos,Abed,ZOTAC Cup Masters,2017-05-30,2017-06-03,1106.8915589544592,1167.2198058644901,1104.025603371669,1143.4636679799098
Philippines,Abed Azel,2000-08-02,Digital Chaos,Abed,The Kiev Major 2017,2017-04-24,2017-04-30,1090.7953715845747,1154.6693232927573,1065.8393712890745,1091.3426159034136
Philippines,Abed Azel,2000-08-02,Execration,Abed,The International 2016,2016-08-02,2016-08-13,1098.532624893597,1146.5535886486773,1055.6898026982208,1060.8355781394348
Peru,Christian Cruz,1995-10-20,Infamous,Accel,DreamLeague Season 8,2017-12-01,2017-12-03,1057.8499603504374,1087.7360274837758,1057.0593095943789,1086.53691591925
Peru,Christian Cruz,1995-10-20,Infamous,Accel,The International 2017,2017-08-02,2017-08-12,1123.671406144138,1194.0181274925185,1048.743228085531,1088.7209896515617
Peru,Christian Cruz,1995-10-20,Infamous,Accel,Galaxy Battles,2017-06-15,2017-06-18,1041.1742673035217,1072.7159736472154,939.4162167851782,917.2513935299304
Peru,Christian Cruz,1995-10-20,Team Unknown,Accel,Frankfurt Major 2015,2015-11-13,2015-11-21,1109.9907071685395,1134.0232460593159,962.4608210128657,962.7583883141316
Peru,Christian Cruz,1995-10-20,Infamous,Accel,Galaxy Battles,2017-06-15,2017-06-18,1041.1742673035217,1072.7159736472154,1029.4445285847482,1054.6955307812113
Denmark,Marcus Hoelgaard,1994-01-19,Team Secret,Ace,DreamLeague Season 8,2017-12-01,2017-12-03,940.2328576858373,907.4837969512573,1001.9913553358085,990.5524756609219
Denmark,Marcus Hoelgaard,1994-01-19,Team Secret,Ace,ESL One Hamburg 2017,2017-10-26,2017-10-29,1090.9257059398583,1148.9494553090335,1011.8409615582616,1031.5316864439196
Denmark,Marcus Hoelgaard,1994-01-19,Danish Bears,Ace,ZOTAC Cup Masters,2017-05-30,2017-06-03,988.1225458759914,984.6705706797368,988.4449918705001,985.0867299871784
Denmark,Marcus Hoelgaard,1994-01-19,Cloud9,Ace,World Electronic Sports Games 2016,2017-01-12,2017-01-15,,,,
Denmark,Marcus Hoelgaard,1994-01-19,Fnatic.EU,Ace,ASUS ROG DreamLeague Season 2,2014-10-06,2014-11-29,997.4342789148076,1016.9099962947424,964.415331302921,979.3981317092127
Denmark,Marcus Hoelgaard,1994-01-19,Alliance,Ace,ASUS ROG DreamLeague Season 2,2014-10-06,2014-11-29,1096.2658208327884,1135.9481393628396,1003.2843640147644,1031.1376952541889
Denmark,Marcus Hoelgaard,1994-01-19,Meet Your Makers,Ace,Dota 2 Champions League Season 3,2014-04-25,2014-06-25,983.21785405209,1002.9807308192627,1002.3215313574484,984.1114894313716
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,The International 2016,2016-08-02,2016-08-13,1095.6956485987232,1134.284441717818,1102.4172634887432,1179.1352573777451
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,ESL One Frankfurt 2016,2016-06-17,2016-06-19,1114.4395128333713,1186.651321258598,1091.6798855283512,1140.2388234829284
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,The Manila Major 2016,2016-06-03,2016-06-12,1070.6216473893471,1089.3865143776395,1113.149301301235,1198.067703490105
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,EPICENTER 2016,2016-05-09,2016-05-15,1098.331075384055,1135.9772965744396,1104.6950896830313,1176.6442584454096
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,StarLadder i-League Invitational #1,2016-04-14,2016-04-17,1159.631529449919,1239.9955056455549,1114.4018041359986,1158.2007314462282
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,The Shanghai Major 2016,2016-02-25,2016-03-06,1175.687653188765,1248.0146279139585,1173.6670173520595,1233.8448150899699
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,SL i-League StarSeries Season 1,2016-01-13,2016-01-17,1098.5120475280542,1194.0919575115324,1200.5841667582358,1377.8586042413035
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,World Cyber Arena 2015,2015-12-17,2015-12-20,1047.8985368673568,1101.1620782514176,1135.1504588211078,1279.6321266402992
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,Frankfurt Major 2015,2015-11-13,2015-11-21,1170.5341412378427,1249.1241785291993,1069.2370827670093,1059.3372561242495
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,Dota Pit League Season 3,2015-01-21,2015-07-12,1058.0366269467772,1125.1531006745668,1000.9903661096556,1005.816375242128
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,ESL One Frankfurt 2015,2015-06-20,2015-06-21,1001.1522264884959,1006.7669739055788,1001.1443255068608,1006.7205717987977
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,ASUS ROG DreamLeague Season 3,2015-03-28,2015-06-15,1214.7906846331896,1337.503315164368,1035.3362171918432,1049.2404964793006
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,joinDOTA MLG Pro League Season 2,2015-04-20,2015-06-07,1146.3805831414259,1169.026671554599,1073.0040739721583,1093.2451212748254
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,i-League Season 3,2015-04-06,2015-05-23,1211.7322178082122,1284.6549338608534,1137.3341013489405,1158.6194361763282
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,XMG Captains Draft 2.0,2014-10-31,2014-12-21,1118.8412639199923,1216.718579464874,1020.9203817302183,1042.9386793788794
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,StarLadder StarSeries Season 10,2014-08-15,2014-10-26,1092.7129128782578,1136.0848821788431,1084.7281915308465,1157.5697523128945
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,ESL One New York 2014,2014-10-09,2014-10-10,1094.2990437116498,1133.1706251023559,1116.6379696819038,1182.453582023626
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,World Cyber Arena 2014,2014-10-02,2014-10-05,1114.8309662865213,1180.3999086505016,1096.9304870295623,1136.8867916484287
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,The International 2014,2014-07-08,2014-07-21,1157.044238768326,1232.2928151319031,1110.115166653189,1161.6280733168182
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,ESL One Frankfurt 2014,2014-06-28,2014-06-29,1189.3127334375356,1282.453737379723,1167.0769343528054,1247.1327297888056
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,Dota 2 Champions League Season 3,2014-04-25,2014-06-25,1051.4740592624157,1038.2607940821324,1165.6121196898891,1231.1123195774596
Sweden,Henrik Ahnberg,1990-12-19,Alliance,AdmiralBulldog,HyperX D2L Western Challenge,2014-04-01,2014-06-24,1114.2190358115568,1108.8276886065646,1166.7555865692207,1232.7080317954856
Russia,Andrey Afonin,1996-09-27,HellRaisers,Afoninje,Dota Pit League Season 3,2015-01-21,2015-07-12,,,,
Russia,Andrey Afonin,1996-09-27,HellRaisers,Afoninje,Esportal Dota 2 League,2014-11-28,2015-07-05,,,,
Russia,Andrey Afonin,1996-09-27,HellRaisers,Afoninje,Dota 2 Asia Championships 2015,2015-01-29,2015-02-09,,,,
Russia,Andrey Afonin,1996-09-27,HellRaisers,Afoninje,StarLadder StarSeries Season 11,2014-11-14,2015-01-18,,,,
Russia,Andrey Afonin,1996-09-27,HellRaisers,Afoninje,Dota Pit League Season 2,2014-09-25,2014-12-23,,,,
Jordan,Mohammad Khalil,1996-12-06,Aboshamalah (page does not exist),AfrOmoush,World Electronic Sports Games 2016,2017-01-12,2017-01-15,,,,
Russia,Vasily Shishkin,1997-03-13,Vega Squadron,AfterLife,StarLadder i-League Invitational #2,2017-05-18,2017-05-21,1154.5918082621342,1228.0190499318555,1107.6322690278776,1114.4304150329415
Russia,Vasily Shishkin,1997-03-13,Team Empire,AfterLife,The Manila Major 2016,2016-06-03,2016-06-12,1015.0185441705664,1000.1797983116064,1285.0212661413584,1404.1517774019785
Russia,Vasily Shishkin,1997-03-13,Team Spirit,AfterLife,The Shanghai Major 2016,2016-02-25,2016-03-06,901.9860516343448,868.105650577612,1179.69398155471,1335.8910488452987
Russia,Vasily Shishkin,1997-03-13,Team Spirit,AfterLife,MarsTV Dota 2 League 2015 Winter,2016-01-27,2016-01-31,1026.455640848234,1043.5069928569,883.5887912097712,843.3490242472357
