country,name,dob,team,player,tour,start,end,startelo32,startelo64,endelo32,endelo64
Russia,Egor Zhabotinskii,1997-07-07,F.R.I.E.N.D.S.,.Ark,Russian e-Sports Cup 2017,2017-04-01,2017-05-28,945.5494536676966,917.2899149818587,,
Israel,Neta Shapira,1997-04-17,Prodota Gaming,33,World Cyber Arena 2016,2016-12-14,2016-12-16,985.437192207975,1013.6822963222827,975.1267211898713,996.986521421656
Israel,Neta Shapira,1997-04-17,Prodota Gaming,33,Mr. Cat Invitational Europe,2017-05-02,2017-05-18,931.5096948540194,904.5784381424347,956.3781167689232,939.9773428491529
Russia,Stanislav Glushan,1992-11-09,Virtus.pro,BzzIsPerfect,XMG Captains Draft 2.0,2014-10-31,2014-12-21,1175.8614803588518,1293.2925696581356,1177.1905526319367,1282.8032434138581
Russia,Stanislav Glushan,1992-11-09,Virtus.pro,BzzIsPerfect,ASUS ROG DreamLeague Season 2,2014-10-06,2014-11-29,1084.218961004616,1144.2217332286768,1154.8745390185306,1229.0100063925427
Russia,Stanislav Glushan,1992-11-09,Virtus.Pro,BzzIsPerfect,StarLadder StarSeries Season 10,2014-08-15,2014-10-26,1047.7979707504214,1107.301876533604,1098.5848770176358,1142.2741071278242
Russia,Stanislav Glushan,1992-11-09,Virtus.pro,BzzIsPerfect,MSI Beat IT 2014,2014-11-01,2014-11-02,1179.0739735623476,1278.9283792102358,1137.3164792448335,1160.7848197474875
Russia,Stanislav Glushan,1992-11-09,Virtus.Pro,BzzIsPerfect,Megafon Battle Arena,2014-08-25,2014-08-26,1141.2361364715407,1254.4098169739825,1140.2676601071644,1252.665292514732
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,Dota Pit League Season 3,2015-01-21,2015-07-12,1058.0366269467777,1125.1531006745668,1000.9903661096557,1005.816375242128
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,ESL One Frankfurt 2015,2015-06-20,2015-06-21,1001.1522264884959,1006.7669739055788,1001.1443255068608,1006.7205717987977
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,ASUS ROG DreamLeague Season 3,2015-03-28,2015-06-15,1214.7906846331896,1337.503315164368,1035.3362171918432,1049.2404964793006
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,joinDOTA MLG Pro League Season 2,2015-04-20,2015-06-07,1146.3805831414259,1169.0266715545988,1073.0040739721583,1093.2451212748254
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,i-League Season 3,2015-04-06,2015-05-23,1211.7322178082122,1284.6549338608534,1137.3341013489405,1158.619436176328
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,StarLadder StarSeries Season 12,2015-03-09,2015-04-26,1043.3791247717888,1107.583617478517,1133.8907310714392,1187.4529460658114
France,Sébastien Debs,1992-05-11,Sigma.int,7ckngMad,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1055.128008105056,1097.9889615568572,1052.0514925577654,1094.6697297881917
France,Sébastien Debs,1992-05-11,Sigma.int,7ckngMad,Dota 2 Champions League Season 2,2014-02-09,2014-04-15,1068.1281308130026,1075.6346731957128,1079.7455274395045,1145.0388291197694
France,Sébastien Debs,1992-05-11,Sigma.int,7ckngMad,StarLadder StarSeries Season 8,2013-11-25,2014-01-19,1166.8641049355647,1247.6782775727565,1139.4256093511665,1190.560523090769
France,Sébastien Debs,1992-05-11,Quantic Gaming,7ckngMad,StarLadder StarSeries Season 7,2013-08-31,2013-10-13,1023.84654818205,1022.5509577907243,1101.6958928940724,1185.8311919376847
France,Sébastien Debs,1992-05-11,Alliance,7ckngMad,RoG Play It Cool Dota 2 Invitational,2015-05-03,2015-05-03,1110.2619604879708,1154.1567684983306,1110.2619604879708,1154.1567684983306
France,Sébastien Debs,1992-05-11,Denial eSports,7ckngMad,Battle of Central Europe Season 3,2014-11-09,2014-12-19,1004.0713577766279,1057.8080566471424,1001.9257021639928,1022.1161730920486
France,Sébastien Debs,1992-05-11,Sigma,7ckngMad,XMG Captains Draft Invitational,2014-02-18,2014-04-01,1011.6842417293684,976.4917236249534,1064.813114969911,1093.65522666228
France,Sébastien Debs,1992-05-11,Sigma.int,7ckngMad,Electronic Sports Prime Shock Therapy Cup,2014-01-31,2014-02-08,1128.3758204946305,1175.4581788776586,1094.5988496326522,1120.998535651138
France,Sébastien Debs,1992-05-11,Sigma.int,7ckngMad,Pinnacle Sports Pro-Am,2014-01-04,2014-01-12,1181.136063192147,1268.0947418092026,1171.4346921794756,1253.735996725522
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,DreamLeague Season 8,2017-12-01,2017-12-03,1162.6006022486574,1221.0158141190864,1126.8275376988586,1154.1713074418594
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,ESL One Hamburg 2017,2017-10-26,2017-10-29,1232.8900176196282,1345.7131783048096,1279.3986414863507,1419.5747005774576
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The International 2017,2017-08-02,2017-08-12,1184.6098850071166,1294.7534221567473,1181.2532382441693,1281.7630808624924
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,DOTA Summit 7,2017-06-14,2017-06-18,1174.1919860557089,1247.232405873822,1227.0390928695547,1365.0244588883725
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,EPICENTER 2017,2017-06-04,2017-06-11,1163.4730364657555,1216.3883894392916,1151.1033507657535,1200.121434013338
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The Kiev Major 2017,2017-04-24,2017-04-30,1168.291641504546,1225.1101027682064,1216.3598725896945,1287.621295177339
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,Dota Pit League Season 5,2017-01-20,2017-01-22,1221.272499759171,1296.5494967370782,1182.8749711850826,1227.5135949457165
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The Boston Major 2016,2016-12-03,2016-12-10,1332.120416027826,1502.5182614697235,1286.0877497597587,1392.465456996571
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,The Summit 6,2016-11-16,2016-11-20,1241.5497597406854,1315.0949886694395,1284.9431518112258,1415.1275596501916
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,DOTA Summit 8,2017-12-13,2017-12-17,1135.8969158156676,1196.2762247097396,1227.4531192067427,1378.9359347834368
Russia,Pavel Khvastunov,1992-06-30,Virtus.Pro,9pasha,MDL Macau,2017-12-08,2017-12-10,1120.061687772768,1156.5250145785021,1108.7670947736458,1143.3763514713416
Russia,Pavel Khvastunov,1992-06-30,Virtus.Pro,9pasha,Adrenaline Cyber League,2017-11-21,2017-11-22,1163.7715591696099,1194.263481412993,1162.6485541924471,1192.9313889690186
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,AMD SAPPHIRE Dota PIT League,2017-11-02,2017-11-05,1271.8136007968408,1408.1841971761576,1194.4069851674985,1221.1768437654546
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,Russian e-Sports Cup 2017,2017-04-01,2017-05-28,1168.9248273810365,1204.9234472570693,1141.3822147630865,1173.7437543713693
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,DreamLeague Season 7 EU Division,2017-05-04,2017-05-21,1210.486191785666,1279.8130280523314,1148.358596664249,1182.316988179225
Russia,Pavel Khvastunov,1992-06-30,Virtus.pro,9pasha,Mr. Cat Invitational Europe,2017-05-02,2017-05-18,1213.4028248094119,1283.6902986284595,1170.6950385521307,1204.8439340811192
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,The International 2017,2017-08-02,2017-08-12,1060.1838575854727,1134.8694473406613,1043.2963850293381,1041.1144014932988
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Galaxy Battles,2017-06-15,2017-06-18,983.8460636408212,1012.5437530666808,989.4974496992083,1036.962002097935
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,ZOTAC Cup Masters,2017-05-30,2017-06-03,973.6585883882184,970.1940072508064,992.1039907271204,1019.4169322939548
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,The Kiev Major 2017,2017-04-24,2017-04-30,1030.652195163008,1008.9376743009454,981.1281992322321,934.9737555109816
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Dota 2 Asia Championships 2017,2017-03-27,2017-04-04,1106.0175663777068,1175.8078358755533,1094.5223557385573,1163.754547490699
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,StarLadder i-League StarSeries Season 3,2017-02-23,2017-02-26,1112.8905458508532,1123.2149139592657,1079.1604265609371,1058.7917356873593
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,World Cyber Arena 2016,2016-12-14,2016-12-16,1127.3578494786693,1182.9180188845062,1159.4392108615673,1257.5061428282954
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Mars Dota 2 League 2016 Autumn,2016-09-28,2016-10-02,1125.139923311695,1147.6022314017039,1073.4360114432714,1059.1332959267472
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Dota2 Professional League Season 4 (2017 S2)- Top,2017-09-30,2017-11-12,973.5166430221389,936.2903777055712,969.698988149904,965.2661273758036
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Dota2 Professional League Season 3 (2017 S1) - Top,2017-03-15,2017-04-16,1143.7854603989647,1242.3671040470715,1080.6681016358652,1118.3685276293043
China,Gao Tianpeng,1995-12-05,IG Vitality,Dogf1ghts,Dota2 Professional League Season 2 - Top,2016-09-23,2016-12-31,1107.4504623262633,1160.8663399759187,1169.3039930305993,1214.7252740074366
