,team,player,bday,tour,start,end,startelo32,startelo64,endelo32,endelo64
0,Natus Vincere,XBOCT,1990-12-29,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1169.1996854479225,1243.9635906421618,1059.4402340973174,1091.9886869400368
1,Natus Vincere,Dendi,1989-12-30,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1169.1996854479225,1243.9635906421618,1059.4402340973174,1091.9886869400368
2,Natus Vincere,Funn1k,1992-11-16,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1169.1996854479225,1243.9635906421618,1059.4402340973174,1091.9886869400368
3,Natus Vincere,Puppey,1990-03-06,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1169.1996854479225,1243.9635906421618,1059.4402340973174,1091.9886869400368
4,Alliance,Loda,1988-03-19,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1192.7857055584634,1265.6645454229035,1204.5176200256508,1316.71304561028
5,Alliance,S4,1992-04-01,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1192.7857055584634,1265.6645454229035,1204.5176200256508,1316.71304561028
6,Alliance,AdmiralBulldog,1990-12-19,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1192.7857055584634,1265.6645454229035,1204.5176200256508,1316.71304561028
7,Alliance,EGM,1991-06-04,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1192.7857055584634,1265.6645454229035,1204.5176200256508,1316.71304561028
8,Alliance,Akke,1988-05-26,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1192.7857055584634,1265.6645454229035,1204.5176200256508,1316.71304561028
9,Team Liquid,TC,1992-04-04,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1049.9327279028787,1046.0739210427648,1095.2268509281782,1136.0913260530476
10,Team Liquid,Qojqva,N/A,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1049.9327279028787,1046.0739210427648,1095.2268509281782,1136.0913260530476
11,Team Liquid,BuLba,1991-07-10,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1049.9327279028787,1046.0739210427648,1095.2268509281782,1136.0913260530476
12,Team Liquid,DeMoN,1990-07-08,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1049.9327279028787,1046.0739210427648,1095.2268509281782,1136.0913260530476
13,Team Liquid,Waytosexy,1993-12-08,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1049.9327279028787,1046.0739210427648,1095.2268509281782,1136.0913260530476
14,Virtus.pro,Illidan,1991-08-13,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,995.9935306364862,988.0863835568808,1052.7854029338635,1132.2050252155907
15,Virtus.pro,G,1992-04-16,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,995.9935306364862,988.0863835568808,1052.7854029338635,1132.2050252155907
16,Virtus.pro,ARS-ART,1988-08-12,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,995.9935306364862,988.0863835568808,1052.7854029338635,1132.2050252155907
17,Virtus.pro,NS,1988-09-24,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,995.9935306364862,988.0863835568808,1052.7854029338635,1132.2050252155907
18,Virtus.pro,JotM,1993-02-26,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,995.9935306364862,988.0863835568808,1052.7854029338635,1132.2050252155907
19,Fnatic,Excalibur,1997-08-21,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1169.1996854479225,1243.9635906421618,1059.4402340973174,1091.9886869400368
20,Fnatic,H4nn1,N/A,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1169.1996854479225,1243.9635906421618,1059.4402340973174,1091.9886869400368
21,Fnatic,Trixi,1989-12-28,ASUS ROG DreamLeague Season 1,2014-03-03,2014-06-16,1169.1996854479225,1243.9635906421618,1059.4402340973174,1091.9886869400368
