,team,player,tour,start,end,startelo32,startelo64,endelo32,endelo64
0,Virtus.pro,RAMZES666,ESL One Genting 2018,2018-01-23,2018-01-28,1201.4443097260794,1327.0154749191408,1201.4443097260794,1327.0154749191408
1,Virtus.pro,Noone,ESL One Genting 2018,2018-01-23,2018-01-28,1201.4443097260794,1327.0154749191408,1201.4443097260794,1327.0154749191408
2,Virtus.pro,9pasha,ESL One Genting 2018,2018-01-23,2018-01-28,1201.4443097260794,1327.0154749191408,1201.4443097260794,1327.0154749191408
3,Virtus.pro,Lil,ESL One Genting 2018,2018-01-23,2018-01-28,1201.4443097260794,1327.0154749191408,1201.4443097260794,1327.0154749191408
4,Virtus.pro,Solo,ESL One Genting 2018,2018-01-23,2018-01-28,1201.4443097260794,1327.0154749191408,1201.4443097260794,1327.0154749191408
5,Team Liquid,MATUMBAMAN,ESL One Genting 2018,2018-01-23,2018-01-28,956.7472731915584,933.0471911340939,1025.4788529137331,1028.809453293362
6,Team Liquid,Miracle-,ESL One Genting 2018,2018-01-23,2018-01-28,956.7472731915584,933.0471911340939,1025.4788529137331,1028.809453293362
7,Team Liquid,MinD ContRoL,ESL One Genting 2018,2018-01-23,2018-01-28,956.7472731915584,933.0471911340939,1025.4788529137331,1028.809453293362
8,Team Liquid,GH,ESL One Genting 2018,2018-01-23,2018-01-28,956.7472731915584,933.0471911340939,1025.4788529137331,1028.809453293362
9,Team Liquid,KuroKy,ESL One Genting 2018,2018-01-23,2018-01-28,956.7472731915584,933.0471911340939,1025.4788529137331,1028.809453293362
10,Newbee,Moogy,ESL One Genting 2018,2018-01-23,2018-01-28,1196.2772064325916,1262.4797337663726,1014.1926834188745,999.125097678441
11,Newbee,Sccc,ESL One Genting 2018,2018-01-23,2018-01-28,1196.2772064325916,1262.4797337663726,1014.1926834188745,999.125097678441
12,Newbee,Kpii,ESL One Genting 2018,2018-01-23,2018-01-28,1196.2772064325916,1262.4797337663726,1014.1926834188745,999.125097678441
13,Newbee,Kaka,ESL One Genting 2018,2018-01-23,2018-01-28,1196.2772064325916,1262.4797337663726,1014.1926834188745,999.125097678441
14,Newbee,Faith,ESL One Genting 2018,2018-01-23,2018-01-28,1196.2772064325916,1262.4797337663726,1014.1926834188745,999.125097678441
15,Mineski,NaNa,ESL One Genting 2018,2018-01-23,2018-01-28,1138.7733166431822,1213.7113249062152,1138.7733166431822,1213.7113249062152
