tour,place,prize,team
ESL One Genting 2018,1,"$160,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
DreamLeague Season 8,1,"$500,000",Team Secret
DreamLeague Season 8,2,"$200,000",Team Liquid
DreamLeague Season 8,3,"$100,000",Evil Geniuses
DreamLeague Season 8,4,"$70,000",Natus Vincere
DreamLeague Season 8,5,"$45,000",Newbee
DreamLeague Season 8,5,"$45,000",Virtus.pro
DreamLeague Season 8,7,"$20,000",Fnatic
DreamLeague Season 8,7,"$20,000",Infamous
ESL One Hamburg 2017,1,"$500,000",Virtus.pro
ESL One Hamburg 2017,2,"$200,000",Team Secret
ESL One Hamburg 2017,3,"$90,000",Team Liquid
ESL One Hamburg 2017,3,"$90,000",Newbee
ESL One Hamburg 2017,5,"$40,000",Evil Geniuses
ESL One Hamburg 2017,5,"$40,000",Keen Gaming
ESL One Hamburg 2017,7,"$20,000",Fnatic
ESL One Hamburg 2017,7,"$20,000",SG e-sports
The International 2017,1,"$10,862,683",Team Liquid
The International 2017,2,"$3,950,067",Newbee
The International 2017,3,"$2,592,231",LGD.Forever Young
The International 2017,4,"$1,728,154",LGD Gaming
The International 2017,5,"$1,110,956",Virtus.pro
The International 2017,5,"$1,110,956",Invictus Gaming
The International 2017,7,"$617,198",Team Empire
The International 2017,7,"$617,198",OG
The International 2017,9,"$370,319",Team Secret
The International 2017,9,"$370,319",Evil Geniuses
The International 2017,9,"$370,319",TNC Pro Team
The International 2017,9,"$370,319",Digital Chaos
The International 2017,13,"$123,440",Execration
The International 2017,13,"$123,440",Cloud9
The International 2017,13,"$123,440",Infamous
The International 2017,13,"$123,440",iG Vitality
The International 2017,17,"$61,720",Fnatic
The International 2017,17,"$61,720",HellRaisers
Mars Dota 2 League 2017,1,"$112,500",LGD Gaming
Mars Dota 2 League 2017,2,"$50,000",LGD.Forever Young
Mars Dota 2 League 2017,3,"$31,250",Newbee
Mars Dota 2 League 2017,4,"$18,750",OG
Mars Dota 2 League 2017,5,"$12,500",Evil Geniuses
Mars Dota 2 League 2017,5,"$12,500",Invictus Gaming
Mars Dota 2 League 2017,7,"$6,250",Clutch Gamers
Mars Dota 2 League 2017,7,"$6,250",Vici Gaming
DOTA Summit 7,1,"$42,500",Virtus.pro
DOTA Summit 7,2,"$22,500",Team Secret
DOTA Summit 7,3,"$10,500",LGD Gaming
DOTA Summit 7,4,"$10,000",Team NP
DOTA Summit 7,5,"$3,500",Natus Vincere
DOTA Summit 7,6,"$1,000",Digital Chaos
DOTA Summit 7,7,"$2,500",Team Empire
DOTA Summit 7,7,"$2,500",Team VGJ
Galaxy Battles,1,"$69,000",Newbee
Galaxy Battles,2,"$22,500",Planet Odd
Galaxy Battles,3,"$18,000",TNC Pro Team
Galaxy Battles,4,"$13,500",mousesports
Galaxy Battles,5,"$9,000",iG Vitality
Galaxy Battles,5,"$9,000",Vici Gaming
Galaxy Battles,7,"$4,500",Infamous
Galaxy Battles,7,"$4,500",HappyFeet
EPICENTER 2017,1,"$250,000",Team Liquid
EPICENTER 2017,2,"$100,000",Evil Geniuses
EPICENTER 2017,3,"$40,000",Team Secret
EPICENTER 2017,3,"$40,000",LGD.Forever Young
EPICENTER 2017,5,"$20,000",Invictus Gaming
EPICENTER 2017,5,"$20,000",Virtus.pro
EPICENTER 2017,7,"$10,000",OG
EPICENTER 2017,7,"$10,000",Planet Odd
EPICENTER 2017,9,"$5,000",Natus Vincere
EPICENTER 2017,9,"$5,000",Clutch Gamers
ZOTAC Cup Masters,1,"$50,000",Newbee
ZOTAC Cup Masters,2,"$20,000",Team NP
ZOTAC Cup Masters,3,"$7,000",Fnatic
ZOTAC Cup Masters,3,"$7,000",iG Vitality
ZOTAC Cup Masters,5,"$5,000",Digital Chaos
ZOTAC Cup Masters,5,"$5,000",Danish Bears
ZOTAC Cup Masters,7,"$3,000",WarriorsGaming.Unity
ZOTAC Cup Masters,7,"$3,000",Team Singularity
The Manila Masters,1,"$125,000",Evil Geniuses
The Manila Masters,2,"$50,000",Newbee
The Manila Masters,3,"$25,000",Team NP
The Manila Masters,4,"$20,000",Team Faceless
The Manila Masters,5,"$10,000",Invictus Gaming
The Manila Masters,5,"$10,000",OG
The Manila Masters,7,"$5,000",Team Secret
The Manila Masters,7,"$5,000",Clutch Gamers
StarLadder i-League Invitational #2,1,"$45,000",Team Liquid
StarLadder i-League Invitational #2,2,"$20,000",TNC Pro Team
