,team,player,bday,tour,start,end,startelo32,startelo64,endelo32,endelo64
0,OG,N0tail,1993-10-08,The International 2017,2017-08-02,2017-08-12,1113.7879906372466,1113.7879906372466,1125.205865509869,1125.205865509869
1,OG,Ana,1999-10-26,The International 2017,2017-08-02,2017-08-12,1113.7879906372466,1113.7879906372466,1125.205865509869,1125.205865509869
2,OG,S4,1992-04-01,The International 2017,2017-08-02,2017-08-12,1113.7879906372466,1113.7879906372466,1125.205865509869,1125.205865509869
3,OG,JerAx,1992-05-07,The International 2017,2017-08-02,2017-08-12,1113.7879906372466,1113.7879906372466,1125.205865509869,1125.205865509869
4,OG,Fly,1993-03-09,The International 2017,2017-08-02,2017-08-12,1113.7879906372466,1113.7879906372466,1125.205865509869,1125.205865509869
5,Virtus.pro,RAMZES666,1999-04-25,The International 2017,2017-08-02,2017-08-12,1184.6098850071166,1184.6098850071166,1181.2532382441698,1181.2532382441698
6,Virtus.pro,Noone,1997-09-04,The International 2017,2017-08-02,2017-08-12,1184.6098850071166,1184.6098850071166,1181.2532382441698,1181.2532382441698
7,Virtus.pro,9pasha,1992-06-30,The International 2017,2017-08-02,2017-08-12,1184.6098850071166,1184.6098850071166,1181.2532382441698,1181.2532382441698
8,Virtus.pro,Lil,1995-12-24,The International 2017,2017-08-02,2017-08-12,1184.6098850071166,1184.6098850071166,1181.2532382441698,1181.2532382441698
9,Virtus.pro,Solo,1990-08-07,The International 2017,2017-08-02,2017-08-12,1184.6098850071166,1184.6098850071166,1181.2532382441698,1181.2532382441698
10,Evil Geniuses,Arteezy,1996-07-01,The International 2017,2017-08-02,2017-08-12,1141.0440702474132,1141.0440702474132,1136.7938636689923,1136.7938636689923
11,Evil Geniuses,SumaiL,1999-02-13,The International 2017,2017-08-02,2017-08-12,1141.0440702474132,1141.0440702474132,1136.7938636689923,1136.7938636689923
12,Evil Geniuses,UNiVeRsE,1989-10-11,The International 2017,2017-08-02,2017-08-12,1141.0440702474132,1141.0440702474132,1136.7938636689923,1136.7938636689923
