team,player,position,dob,start,tour,place,prize,startelo32,endelo32,startelo64,endelo64
TNC Pro Team,1437,5,,2018-01-19,Galaxy Battles II: Emerging Worlds,5,35000.0,1119.5254661523272,1105.8983690984255,1179.7125841240809,1153.1777134806152
TNC Pro Team,1437,5,,2017-12-08,MDL Macau,2,65000.0,1157.1451404416666,1133.9645787638349,1268.2028432930094,1207.254853228109
TNC Pro Team,1437,5,,2017-11-19,China Top 2017,1,151935.0,1134.220973593338,1130.5771779733052,1223.2958687208338,1217.2338913216713
Team NP,1437,5,,2016-10-11,DreamLeague Season 6 League Play,7,5000.0,,1143.7182312269506,,1226.20222353514
Digital Chaos,1437,5,,2016-01-19,Captains Draft 3.0,7,4345.0,1103.1947509937972,1099.6484976049712,1122.1271267471009,1114.7973308401981
Team Dignitas,1437,4,,2013-10-21,Fragbite Masters 2013,5,836.0,1085.9650700121788,983.8435720278903,1088.4853148297134,967.2234047469472
TNC Pro Team,1437,5,,2017-08-02,The International 2017,9,370319.0,1150.2968598794396,1097.834970871722,1210.3799708580812,1124.4583664456875
TNC Pro Team,1437,5,,2017-06-15,Galaxy Battles,3,18000.0,1150.7294297926974,1153.4127048561993,1251.053741233364,1219.7378205996727
TNC Pro Team,1437,5,,2017-05-18,StarLadder i-League Invitational #2,2,20000.0,1157.7942437720615,1187.140029670292,1253.7098504309745,1330.8795756553504
Team NP,1437,4,,2017-03-27,Dota 2 Asia Championships 2017,9,9179.0,1153.9866999186968,1110.369049847249,1231.3137431086802,1134.5843879910478
Team NP,1437,5,,2017-01-06,ESL One Genting 2017,5,10000.0,1036.224847045676,1050.7129510844313,1071.046360662608,1097.5906328262756
Team NP,1437,5,,2016-12-03,The Boston Major 2016,5,125000.0,1074.3984891528753,1053.859816511629,1107.3714870090669,1102.7476169481306
Team NP,1437,5,,2016-11-16,The Summit 6,5,3500.0,1116.0694798968136,1103.8037156537914,1178.2195193073935,1158.8739428984711
Team NP,1437,5,,2016-11-10,Northern Arena BEAT Invitational,2,20000.0,1147.1629783380936,1143.944297682739,1221.995276497541,1231.5281369756801
Cloud9,1437,5,,2015-11-13,Frankfurt Major 2015,13,30000.0,1016.6363975643412,996.9498778602676,977.549177013162,997.3007884436923
Cloud9,1437,5,,2015-10-16,MLG World Finals 2015,7,5699.0,1196.9100409963694,1124.1214654231956,1303.346306543037,1134.5616438574891
Na'Vi North America,1437,5,,2014-07-08,The International 2014,13,21848.0,,,,
Na'Vi North America,1437,5,,2014-06-05,The Summit 1,5,3309.0,,,,
Team Dignitas,1437,4,,2013-10-17,Dota 2 Champions League Season 1,4,3000.0,1085.8035232369994,987.0365529404103,1098.4607212621972,973.7010149712528
Team Dignitas,1437,4,,2013-09-11,WePlay Dota2 League Season 2,4,2000.0,1112.074667467162,979.5851237207743,1210.9986644293926,958.5842775333493
LGD International,1437,4,,2013-08-02,The International 2013,7,43116.0,,,,
LGD International,1437,5,,2013-06-16,Alienware Cup,7,1500.0,,,,
LGD International,1437,5,,2013-05-10,Dota 2 Super League,5,3261.0,,,,
LGD International,1437,5,,2012-12-24,G-League 2012 Season 2,2,8045.0,,,,
Mousesports,1437,4,,2012-08-26,The International 2012,7,25000.0,1015.6506382096698,903.5533069265712,1054.248131324472,854.3269422187402
Mousesports,1437,4,,2012-06-21,The Defense Season 2,2,3073.0,,1051.9550575273377,,1138.5448820177662
Mousesports,1437,5,,2012-05-16,StarLadder StarSeries Season 2,2,3000.0,,,,
Mousesports,1437,5,,2012-06-16,DreamHack Summer 2012,3,3597.0,,,,
It's Gosu eSports,1437,1,,2011-11-05,The Defense Season 1,3,1979.0,,,,
