,cog,player,name,dob,role,team,join,leave
0,Russia,.Ark,Egor Zhabotinskii,1997-07-07,Carry,DoverieT,2014-??-??,2015-??-??
1,Russia,.Ark,Egor Zhabotinskii,1997-07-07,Carry,Siberian Valenki Black,2015-06-12,2016-??-??
2,Russia,.Ark,Egor Zhabotinskii,1997-07-07,Carry,Comanche,2017-01-06,2017-04-27
3,Russia,.Ark,Egor Zhabotinskii,1997-07-07,Carry,Mineski,2017-05-21,2017-08-16
4,Russia,.Ark,Egor Zhabotinskii,1997-07-07,Carry,Spartak Esports,2017-09-12,2017-11-29
5,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Natus Vincere,2011-04-11,2011-12-30
6,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,eSahara,2012-01-10,2012-05-22
7,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Absolute Legends,2012-05-22,2012-07-15
8,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,FXOpen e-Sports,2012-07-15,2013-04-09
9,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Natus Vincere,2013-04-09,2013-08-31
10,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Millenium,2013-09-01,2014-05-21
11,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Meet Your Makers,2014-07-29,2014-09-30
12,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Lianghao,2014-11-26,2015-03-09
13,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Flipsid3 Tactics,2015-03-09,2015-04-29
14,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Princess Jellopy,2015-09-03,2015-10-23
15,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,London Conspiracy,2015-10-23,2016-04-22
16,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,HWA Gaming,2016-04-27,2016-06-04
17,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Danish Bears,2016-06-03,2016-06-24
18,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,The Imperial,2016-06-24,2016-12-09
