team,player,position,tour,place,prize,start,end,startelo32,startelo64,startglickorating,startglickomu,startglickophi,startglickosigma,startglicko2rating,startglicko2mu,startglicko2phi,startglicko2sigma,endelo32,endelo64,endglickorating,endglickomu,endglickophi,endglickosigma,endglicko2rating,endglicko2mu,endglicko2phi,endglicko2sigma
Infamous,Kotar? Hayama,1,Galaxy Battles II: Emerging Worlds,7,"$20,000",2018-01-19,2018-01-21,1116.2661426914278,1172.6949201756781,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,,1114.6771024731445,1170.3346528846175,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,
Infamous,Papita,2,Galaxy Battles II: Emerging Worlds,7,"$20,000",2018-01-19,2018-01-21,1116.2661426914278,1172.6949201756781,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,,1114.6771024731445,1170.3346528846175,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,
Infamous,StingeR,3,Galaxy Battles II: Emerging Worlds,7,"$20,000",2018-01-19,2018-01-21,1116.2661426914278,1172.6949201756781,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,,1114.6771024731445,1170.3346528846175,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,
Infamous,Scofield,4,Galaxy Battles II: Emerging Worlds,7,"$20,000",2018-01-19,2018-01-21,1116.2661426914278,1172.6949201756781,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,,1114.6771024731445,1170.3346528846175,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,
Infamous,Masoku,5,Galaxy Battles II: Emerging Worlds,7,"$20,000",2018-01-19,2018-01-21,1116.2661426914278,1172.6949201756781,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,,1114.6771024731445,1170.3346528846175,1646.254466186848,1840.237610022961,,77.59325753444519,1596.9196369678411,1728.9078740652274,52.795294838954476,
OG,7ckngMad,1,Galaxy Battles II: Emerging Worlds,4,"$45,000",2018-01-19,2018-01-21,1250.6081818173338,1361.3269021248225,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,,1192.690604741762,1237.686994650838,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,
OG,Resolut1on,2,Galaxy Battles II: Emerging Worlds,4,"$45,000",2018-01-19,2018-01-21,1250.6081818173338,1361.3269021248225,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,,1192.690604741762,1237.686994650838,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,
OG,KheZu,3,Galaxy Battles II: Emerging Worlds,4,"$45,000",2018-01-19,2018-01-21,1250.6081818173338,1361.3269021248225,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,,1192.690604741762,1237.686994650838,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,
OG,JerAx,4,Galaxy Battles II: Emerging Worlds,4,"$45,000",2018-01-19,2018-01-21,1250.6081818173338,1361.3269021248225,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,,1192.690604741762,1237.686994650838,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,
OG,Fly,5,Galaxy Battles II: Emerging Worlds,4,"$45,000",2018-01-19,2018-01-21,1250.6081818173338,1361.3269021248225,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,,1192.690604741762,1237.686994650838,1838.9903830314363,2049.632961155402,,84.2570312495863,1834.714538822127,1941.074922161003,42.5441533355504,
