country,player,name,dob
Russia,.Ark,Egor Zhabotinskii,1997-07-07
Denmark,13abyKnight,Jon Andersen,1992-06-15
Canada,1437,Sivatheeban Sivanathapillai,
China,290,Zeng Chen,
United Kingdom,2GD,James Harding,1982-12-29
Israel,33,Neta Shapira,1997-04-17
Malaysia,343,Adam Erwann,
Brazil,4DR,Adriano de,1993-07-13
China,5400,Yang Huaining,
Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09
France,7ckngMad,Sébastien Debs,1992-05-11
China,820,Zou Yitian,1990-04-13
China,86,Chen Yuxuan,
China,MKSos,Liu Yufeng,
China,897,Tang Zhirui,
Russia,9pasha,Pavel Khvastunov,1992-06-30
China,Dogf1ghts,Gao Tianpeng,1995-12-05
Thailand,AabBAA,Chanon Chiwpreecha,1990-09-07
Philippines,Ab1ng,Avelino Parungao,
Philippines,Abed,Abed Azel,2000-08-02
Peru,Accel,Christian Cruz,1995-10-20
Denmark,Ace,Marcus Hoelgaard,1994-01-19
Sweden,AdmiralBulldog,Henrik Ahnberg,1990-12-19
Russia,Admiration,Igor Kalnysh,
China,Adong,Chen Yingdong,
Malaysia,ADTR,Ahmad Syazwan,
Russia,Afoninje,Andrey Afonin,1996-09-27
Jordan,AfrOmoush,Mohammad Khalil,1996-12-06
Russia,AfterLife,Vasily Shishkin,1997-03-13
China,Agressif,Sun Zheng,1991-11-11
Malaysia,Ahfu,Tue Soon,1994-06-06
Malaysia,Ahjit,Lai Jay,
China,Air,Yin Yuxiao,
Sweden,Akke,Joakim Akterhall,1988-05-26
Germany,Alex,Alexander Reinhardt,1991-09-07
Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15
Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06
China,Ame,Wang Chunyu,1997-04-07
Germany,Amoment,Michael German,
Australia,Ana,Anathan Pham,1999-10-26
USA,AnneeDroid,Annie LeClair,1995-04-29
China,Another,Wang Wenjun,
Sweden,Apemother,Joel Larsson,1990-12-14
Romania,Arise,Turtoi Ionut,1993-04-08
Mongolia,Ariunbolor,Ariunbolor Altantsetseg,
Philippines,Armel,Armel Paul,2000-01-20
Russia,ARS-ART,Sergey Revin,1988-08-12
Russia,ArsZeeqq,Arseniy Usov,
Canada,Arteezy,Artour Babaev,1996-07-01
Ukraine,Artes,Artem Gorobey,1995-09-07
Ukraine,Artstyle,Ivan Antonov,1989-04-20
United Arab Emirates,Attacker,Mohammed Almheiri,1994-07-16
Peru,Atun,Juan Ochoa,
Canada,Aui 2000,Kurtis Daniel,1992-10-02
China,AutumnWindz,Joshua Lee,
Indonesia,Aville,Adit Rosenda,
China,Awoke,Ye Jing,1987-11-30
Russia,Ax.Mo,Dmitry Morozov,
China,Axx,Bi Xia,
Ukraine,Axypa,Bogdan Boychuk,
USA,Ayesee,Aaron Chambers,1984-12-05
China,Ayo,Fan Tianyou,
Canada,B,Scott Jensen,
Ukraine,BafiK,Aleksey Bafadarov,
Brazil,Baga,Thárcio Medeiros,1994-03-31
Denmark,Balsam,Andreas Løchte,1991-10-27
China,Banana,Wang Jiao,
USA,BananaSlamJamma,Brian Canavan,
South Korea,BaNhwa,Yoon Deok,
Russia,Barash,Dmitry Lednikov,
Brazil,Bardo,Lucas Raphael,
Bulgaria,Bashruk,Ivan Valev,1996-12-12
Australia,Basskip,Cameron Scott,1993-05-09
China,BBC,Zhang Hongsheng,
USA,Bdiz,Robert Tinnes,
United Kingdom,Beesa,Alder Beano,1993-12-24
Malaysia,Ben,Benjamin Cheong,
Philippines,Benhur,Benhur Lawis,1997-03-05
Peru,Benjaz,Benjamín Lanao,1993-09-30
Ukraine,Bignum,Danil Shehovtsov,
Philippines,Bimbo,Ryan Jay,1995-11-15
Vietnam,Biryu,Hà Qu?c,
Denmark,Biver,Malthe Winther,
USA,Bkid,Josh Choi,1989-05-08
Germany,Black^,Dominik Reitmeier,1993-05-27
USA,Blaze,David Dillon,
Germany,Blazemon,Jamal Sohail,1996-02-13
China,BLink,Zhou Yang,1992-07-31
USA,Blitz,William Lee,1990-05-21
USA,Bloody Nine,Daniel Foster,1992-11-11
Russia,Blowyourbrain,Vladislav Morozyuk,1992-10-03
China,BoBoKa,Ye Zhibiao,1997-01-06
Philippines,Bok,Jun Kanehara,
Romania,BOne7,Pittner Armand,1991-02-20
Philippines,Boombacs,Marvin Rushton,1993-01-06
Thailand,Boombell,Anurat Praianun,1990-06-30
Canada,Boris,Bill Oliver,
Sweden,Boxi,Samuel Svahn,
USA,Brax,Braxton Paulson,
Argentina,Bruno,Bruno Carlucci,
Indonesia,Bubu,Muhammad Damar,1993-10-23
USA,BuLba,Kanishka Sosale,1991-07-10
Thailand,BungsellRotee,Thithat Tachawattanakul,
China,BurNIng,Xu Zhilei,1988-04-02
Finland,Buugi,Joni Fält,
Philippines,BYB,Mark Adrian,1993-06-10
Brazil,C4t,Emilano Ito,1993-02-12
USA,Cak3z,Clay Winkler,
Romania,CanceL^^,Mihai Antonio,1996-10-17
USA,Capitalist,Austin Walsh,
France,Carn,Souaib Hanaf,
China,Carrot,Peng Chao,
Philippines,CartMaN,James Palatolon,1993-09-28
Ukraine,CaspeRRR,Roman Lepokhin,1990-03-21
Philippines,Cast,Mark Pilar,1987-05-12
USA,CC&amp;C,Quinn Callahan,
Ukraine,CemaTheSlayeR,Semion Krivulya,1994-03-09
Singapore,Chains,Wei Sheng,
China,Chalice,Yang Shenyi,1998-08-16
China,YUI,Zhang Chaowen,
Denmark,Chaoly,,
China,ChaoYue,Cao An,1995-10-09
Russia,Chappie,Vladimir Kuzmenko,1997-04-03
Sweden,Chessie,Rasmus Blomdin,1992-12-26
Singapore,Chibix,Joel Chan,1990-05-25
China,Chisbug,Li Chen,
Sweden,Chrillee,Christopher Wåhlin,
Belarus,Chshrct,Eugene Kastrama,1990-09-05
Malaysia,ChuaN,Wong Hock,1991-07-28
Russia,Chuvash,Evgeniy Makarov,1998-05-10
Canada,Clairvoyance,Aaron Kim,
Romania,ComeWithMe,Alexandru Craciunescu,1992-11-04
Canada,Conrad,Conrad Janzen,
China,Cookie bear,Ai Xin,
Russia,Cooman,Zaur Shakhmurzaev,1998-08-12
USA,Corey,Corey Wright,
