team,player,position,dob,start,tour,place,prize,startelo32,endelo32,startelo64,endelo64
Evil Geniuses,misery,5,1991-07-14,2018-01-19,Galaxy Battles II: Emerging Worlds,2,85000.0,1119.8114891389866,1142.2985849070544,1176.84301110113,1205.7977327002627
Evil Geniuses,misery,5,1991-07-14,2018-01-04,Captains Draft 4.0,5,12000.0,1110.1742498803474,1104.2248647421254,1144.3759591487894,1148.3619091526755
Planet Odd,misery,4,1991-07-14,2017-07-21,DreamLeague Season 7,2,45000.0,,,,
Planet Odd,misery,4,1991-07-14,2017-05-30,DreamLeague Season 7 NA Division,1,6000.0,,,,
Digital Chaos,misery,4,1991-07-14,2016-12-17,China Top 2016,3,28738.0,1149.4904276121301,1148.465350394218,1231.182672236579,1229.5974196269567
Team Secret,misery,3,1991-07-14,2015-09-21,World Cyber Arena 2015 - European Pro Qualifiers,1,45000.0,1142.037358364641,1139.1354371597745,1159.627954305967,1156.366645092508
Alliance,misery,4,1991-07-14,2014-09-18,NVIDIA Game 24,3,2000.0,1121.9920106239183,1121.1554939796401,1205.1518483617474,1203.7450928301241
Planet Odd,misery,4,1991-07-14,2017-06-15,Galaxy Battles,2,22500.0,,,,
Planet Odd,misery,4,1991-07-14,2017-06-04,EPICENTER 2017,7,10000.0,,,,
Thunderbirds,misery,4,1991-07-14,2017-04-24,The Kiev Major 2017,9,62500.0,,,,
Digital Chaos,misery,5,1991-07-14,2017-02-23,StarLadder i-League StarSeries Season 3,7,7500.0,1169.3967569544852,1099.1760367385705,1245.5393845385104,1116.7875107194209
Digital Chaos,misery,4,1991-07-14,2017-01-06,ESL One Genting 2017,1,125000.0,1163.4830339279504,1195.4314249670779,1257.8611942289149,1328.0852869733071
Digital Chaos,misery,4,1991-07-14,2016-12-03,The Boston Major 2016,3,250000.0,1157.1820733980874,1156.8669021944377,1276.188737943608,1242.590179278085
Digital Chaos,misery,4,1991-07-14,2016-11-16,The Summit 6,5,3500.0,1142.4001543601105,1111.2705882657995,1211.986464190595,1162.0077436635245
Digital Chaos,misery,5,1991-07-14,2016-07-21,SL i-League StarSeries Season 2,5,15000.0,1133.5242048055452,1102.473841638929,1144.248509903997,1121.1382039704947
Digital Chaos,misery,5,1991-07-14,2016-07-13,The Summit 5,5,3537.0,1126.1783911427424,1114.8020723959546,1113.7224350346091,1101.0683957959018
Digital Chaos,misery,5,1991-07-14,2016-07-06,Nanyang Dota 2 Championships Season 2,5,7551.0,1198.5194911517349,1155.494684676992,1234.0731760218725,1155.9653510997382
Digital Chaos,misery,5,1991-07-14,2016-06-03,The Manila Major 2016,9,45000.0,1282.0423673846835,1216.9641258882798,1348.460799007686,1233.1299375920594
Team Secret,misery,3,1991-07-14,2016-03-19,Dota Pit League Season 4,3,25386.0,1164.245326030547,1163.1190723663374,1270.0634241618409,1268.2115606818738
Team Secret,misery,3,1991-07-14,2016-02-25,The Shanghai Major 2016,1,1110000.0,1094.0428029134048,1214.9343751919714,1174.9714823188424,1400.6088889038865
Team Secret,misery,3,1991-07-14,2016-01-27,MarsTV Dota 2 League 2015 Winter,7,6941.0,1107.7848719307403,1076.348726750692,1218.8416824081062,1128.3740306943296
Team Secret,misery,3,1991-07-14,2016-01-13,SL i-League StarSeries Season 1,5,15111.0,1039.875210162678,1067.3015369701234,1042.4106447490317,1130.7647518711924
Team Secret,misery,3,1991-07-14,2015-12-17,World Cyber Arena 2015,4,46275.0,1082.0411821496994,1046.487761173915,1062.693065224986,1023.0460034601281
Team Secret,misery,3,1991-07-14,2015-11-13,Frankfurt Major 2015,2,405000.0,1231.3009542598745,1221.2013573199536,1384.5204709013708,1308.0612989333915
Team Secret,misery,3,1991-07-14,2015-10-26,Nanyang Dota 2 Championships Season 1,1,105688.0,1207.109490854542,1251.2098958116346,1356.6965605972346,1417.6175915125964
Team Secret,misery,3,1991-07-14,2015-10-16,MLG World Finals 2015,1,113982.0,1105.8067079124444,1159.3500852167235,1139.8155690736294,1280.8667934436828
Team Secret,misery,3,1991-07-14,2015-10-03,ESL One New York 2015,2,57324.0,1122.2910836856818,1141.0810237280014,1138.1101759299036,1195.8670550812778
Cloud9,misery,5,1991-07-14,2015-07-27,The International 2015,9,221155.0,1096.1212722993075,1056.107701171682,1141.3203959762247,1067.4578755505008
Cloud9,misery,5,1991-07-14,2015-01-21,Dota Pit League Season 3,2,57056.0,1143.0268210399186,1139.206103488694,1190.8321657621975,1237.8725776638905
Cloud9,misery,5,1991-07-14,2015-06-20,ESL One Frankfurt 2015,5,14810.0,1114.9337130067704,1114.1455961175811,1159.810031526241,1158.7141913100606
Cloud 9,misery,5,1991-07-14,2015-06-03,MarsTV Dota 2 League 2015 Spring,3,29018.0,1169.5935050320647,1179.1584244754652,1210.9814176149284,1253.6530559115438
Cloud9,misery,5,1991-07-14,2015-05-13,The Summit 3,5,9509.0,1244.1980410962167,1197.7247174526829,1351.142869345412,1249.9731337092212
Cloud 9,misery,5,1991-07-14,2015-03-09,StarLadder StarSeries Season 12,3,21000.0,1167.453018368504,1221.325972580997,1284.2195056421688,1315.4897590564035
Cloud9,misery,5,1991-07-14,2015-01-29,Dota 2 Asia Championships 2015,5,152876.0,1149.3156750001592,1164.5345149746495,1214.055075256465,1283.2111511143175
Team Secret,misery,3,1991-07-14,2014-09-25,Dota Pit League Season 2,1,36269.0,,1311.1339981778501,,1420.9588379347435
Alliance,misery,4,1991-07-14,2014-08-15,StarLadder StarSeries Season 10,4,18718.0,1092.712912878258,1084.7281915308467,1136.084882178843,1157.5697523128947
Alliance,misery,4,1991-07-14,2014-10-09,ESL One New York 2014,5,7051.0,1094.29904371165,1116.6379696819042,1133.1706251023559,1182.4535820236265
Alliance,misery,4,1991-07-14,2014-10-02,World Cyber Arena 2014,3,40360.0,1114.8309662865215,1096.9304870295628,1180.399908650502,1136.886791648429
Mousesports,misery,4,1991-07-14,2014-07-08,The International 2014,11,38234.0,1114.8909790469186,1106.2112677052296,1177.7035281202873,1190.1128532353596
Mousesports,misery,4,1991-07-14,2014-06-28,ESL One Frankfurt 2014,5,10545.0,1123.0746745543754,1122.2307339288598,1190.3613675503384,1189.0560324585647
LGD International,misery,3,1991-07-14,2013-09-22,2013 WPC ACE Dota 2 League,5,3306.0,,,,
LGD International,misery,5,1991-07-14,2013-08-02,The International 2013,7,43116.0,,,,
LGD International,misery,3,1991-07-14,2013-06-16,Alienware Cup,7,1500.0,,,,
LGD International,misery,3,1991-07-14,2013-05-10,Dota 2 Super League,5,3261.0,,,,
LGD International,misery,3,1991-07-14,2012-12-24,G-League 2012 Season 2,2,8045.0,,,,
