,tour,place,prize,team
0,ESL One Genting 2018,1,"$160,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
1,DreamLeague Season 8,1,"$500,000",Team Secret
2,DreamLeague Season 8,2,"$200,000",Team Liquid
3,DreamLeague Season 8,3,"$100,000",Evil Geniuses
4,DreamLeague Season 8,4,"$70,000",Natus Vincere
5,DreamLeague Season 8,5,"$45,000",Newbee
6,DreamLeague Season 8,5,"$45,000",Virtus.pro
7,DreamLeague Season 8,7,"$20,000",Fnatic
8,DreamLeague Season 8,7,"$20,000",Infamous
9,ESL One Hamburg 2017,1,"$500,000",Virtus.pro
10,ESL One Hamburg 2017,2,"$200,000",Team Secret
11,ESL One Hamburg 2017,3,"$90,000",Team Liquid
12,ESL One Hamburg 2017,3,"$90,000",Newbee
13,ESL One Hamburg 2017,5,"$40,000",Evil Geniuses
14,ESL One Hamburg 2017,5,"$40,000",Keen Gaming
15,ESL One Hamburg 2017,7,"$20,000",Fnatic
16,ESL One Hamburg 2017,7,"$20,000",SG e-sports
17,The International 2017,1,"$10,862,683",Team Liquid
18,The International 2017,2,"$3,950,067",Newbee
19,The International 2017,3,"$2,592,231",LGD.Forever Young
20,The International 2017,4,"$1,728,154",LGD Gaming
21,The International 2017,5,"$1,110,956",Virtus.pro
22,The International 2017,5,"$1,110,956",Invictus Gaming
23,The International 2017,7,"$617,198",Team Empire
24,The International 2017,7,"$617,198",OG
25,The International 2017,9,"$370,319",Team Secret
26,The International 2017,9,"$370,319",Evil Geniuses
27,The International 2017,9,"$370,319",TNC Pro Team
28,The International 2017,9,"$370,319",Digital Chaos
29,The International 2017,13,"$123,440",Execration
30,The International 2017,13,"$123,440",Cloud9
31,The International 2017,13,"$123,440",Infamous
32,The International 2017,13,"$123,440",iG Vitality
33,The International 2017,17,"$61,720",Fnatic
34,The International 2017,17,"$61,720",HellRaisers
35,Mars Dota 2 League 2017,1,"$112,500",LGD Gaming
36,Mars Dota 2 League 2017,2,"$50,000",LGD.Forever Young
37,Mars Dota 2 League 2017,3,"$31,250",Newbee
38,Mars Dota 2 League 2017,4,"$18,750",OG
39,Mars Dota 2 League 2017,5,"$12,500",Evil Geniuses
40,Mars Dota 2 League 2017,5,"$12,500",Invictus Gaming
41,Mars Dota 2 League 2017,7,"$6,250",Clutch Gamers
42,Mars Dota 2 League 2017,7,"$6,250",Vici Gaming
43,DOTA Summit 7,1,"$42,500",Virtus.pro
44,DOTA Summit 7,2,"$22,500",Team Secret
45,DOTA Summit 7,3,"$10,500",LGD Gaming
46,DOTA Summit 7,4,"$10,000",Team NP
47,DOTA Summit 7,5,"$3,500",Natus Vincere
48,DOTA Summit 7,6,"$1,000",Digital Chaos
49,DOTA Summit 7,7,"$2,500",Team Empire
