id,start,player,team,dob,position,tour,place,prize,pool,end,age,exp,weight,crt,age2,age3,exp2,exp3,const
2,2013-08-31,7ckngmad,Quantic Gaming,1992-05-11,4,StarLadder StarSeries Season 7,4,1500.0,27000.0,2013-10-13,7782,0,0.6809350606569111,1133.7341939336598,60559524,471274215768,0,0,1
2,2013-11-22,7ckngmad,Sigma.int,1992-05-11,4,MLG Championship Columbus,3,13696.0,136959.0,2013-11-24,7865,1,0.7893020753508921,1177.792544209914,61858225,486514939625,1,1,1
2,2014-01-04,7ckngmad,Sigma.int,1992-05-11,4,Pinnacle Sports Pro-Am,1,10250.0,13650.0,2014-01-12,7908,2,0.6354154054251988,1138.4020236206247,62536464,494538357312,4,8,1
2,2014-01-31,7ckngmad,Sigma.int,1992-05-11,4,Electronic Sports Prime Shock Therapy Cup,3,1000.0,15000.0,2014-02-08,7935,3,0.6417092132659893,1104.6022769454437,62964225,499621125375,9,27,1
2,2014-02-04,7ckngmad,Sigma.int,1992-05-11,4,MLG T.K.O. Europe,4,1500.0,34500.0,2014-04-16,7939,4,0.6972932679879514,1139.5105210923853,63027721,500377077019,16,64,1
2,2014-02-09,7ckngmad,Sigma.int,1992-05-11,5,Dota 2 Champions League Season 2,4,12300.0,197100.0,2014-04-15,7944,5,0.8135955316562243,1215.485238478128,63107136,501323088384,25,125,1
2,2014-11-09,7ckngmad,Denial eSports,1992-05-11,4,Battle of Central Europe Season 3,3,3000.0,48000.0,2014-12-19,8217,6,0.6649382215796571,1156.500068645762,67519089,554804354313,36,216,1
2,2015-01-21,7ckngmad,Alliance,1992-05-11,4,Dota Pit League Season 3,5,10615.0,329068.0,2015-07-12,8290,7,0.7836925984237137,1086.8993483066563,68724100,569722789000,49,343,1
2,2015-03-09,7ckngmad,Alliance,1992-05-11,4,StarLadder StarSeries Season 12,5,6000.0,150000.0,2015-04-26,8337,8,0.7352282742984712,1141.642168924469,69505569,579467928753,64,512,1
2,2015-03-28,7ckngmad,Alliance,1992-05-11,4,ASUS ROG DreamLeague Season 3,4,12458.0,150581.0,2015-06-15,8356,9,0.7354667530726456,929.6730780810759,69822736,583438782016,81,729,1
2,2015-04-06,7ckngmad,Alliance,1992-05-11,4,i-League Season 3,5,14935.0,356311.0,2015-05-23,8365,10,0.7885992768912532,823.5717739277231,69973225,585326027125,100,1000,1
2,2015-04-20,7ckngmad,Alliance,1992-05-11,4,joinDOTA MLG Pro League Season 2,2,41812.0,183971.0,2015-06-07,8379,11,0.7478215509497563,777.1897236722326,70207641,588269823939,121,1331,1
2,2015-05-03,7ckngmad,Alliance,1992-05-11,4,RoG Play It Cool Dota 2 Invitational,2,7500.0,30000.0,2015-05-03,8392,12,0.6359443775597338,813.8967713600155,70425664,591012172288,144,1728,1
2,2015-06-20,7ckngmad,Alliance,1992-05-11,4,ESL One Frankfurt 2015,5,14810.0,296202.0,2015-06-21,8440,13,0.7772015584218886,767.5140408014554,71233600,601211584000,169,2197,1
4,2015-11-13,accel,Team Unknown,1995-10-20,5,Frankfurt Major 2015,9,45000.0,3000000.0,2015-11-21,7329,0,0.8939484827604671,962.5348871675559,53714241,393671672289,0,0,1
4,2017-06-15,accel,Infamous,1995-10-20,5,Galaxy Battles,7,4500.0,150000.0,2017-06-18,7909,1,0.72458515739671,949.1206124032398,62552281,494725990429,1,1,1
4,2017-07-07,accel,Infamous,1995-10-20,5,The Final Match Season 1,7,1250.0,50000.0,2017-07-09,7931,2,0.6577944147019157,947.8635525427112,62900761,498865935491,4,8,1
10,2016-07-06,ahfu,WarriorsGaming.Unity,1994-06-06,4,Nanyang Dota 2 Championships Season 2,5,7551.0,216373.0,2016-07-10,8066,0,0.7363451291143976,973.4651028569688,65060356,524776831496,0,0,1
10,2016-09-09,ahfu,WarriorsGaming.Unity,1994-06-06,4,MPGL Southeast Asian Championship,5,1200.0,49000.0,2016-09-11,8131,1,0.6565661799187251,989.2041483001406,66113161,537566112091,1,1,1
10,2016-12-03,ahfu,WarriorsGaming.Unity,1994-06-06,4,The Boston Major 2016,5,125000.0,3000000.0,2016-12-10,8216,2,0.9067123605322307,982.9794035219776,67502656,554601821696,4,8,1
10,2016-12-14,ahfu,WarriorsGaming.Unity,1994-06-06,4,World Cyber Arena 2016,4,28744.0,732972.0,2016-12-16,8227,3,0.8210356141428047,983.4557283804493,67683529,556832393083,9,27,1
10,2017-01-06,ahfu,WarriorsGaming.Unity,1994-06-06,4,ESL One Genting 2017,7,5000.0,250000.0,2017-01-08,8250,4,0.7556410841788738,933.4103704721238,68062500,561515625000,16,64,1
10,2017-06-04,ahfu,LGD.Forever Young,1994-06-06,4,EPICENTER 2017,3,40000.0,500000.0,2017-06-11,8399,5,0.797781351008155,977.8871690466599,70543201,592492345199,25,125,1
10,2017-07-05,ahfu,LGD.Forever Young,1994-06-06,4,Mars Dota 2 League 2017,2,50000.0,250000.0,2017-07-09,8430,6,0.7556410841788738,945.3853700407564,71064900,599077107000,36,216,1
11,2012-08-26,akke,Counter Logic Gaming,1988-05-26,5,The International 2012,7,25000.0,1775000.0,2012-09-02,8858,0,1.0,957.4747948789377,78464164,695035564712,0,0,1
11,2013-02-10,akke,Alliance,1988-05-26,5,The Premier League Season 4,1,5000.0,20000.0,2013-04-28,9026,1,0.6882530765849391,1277.021672693919,81468676,735336269576,1,1,1
11,2013-03-14,akke,Alliance,1988-05-26,4,DreamHack Dota 2 Invitational,1,2500.0,10000.0,2013-04-18,9058,2,0.640082098733365,1168.3115361690607,82047364,743185023112,4,8,1
11,2013-03-16,akke,Alliance,1988-05-26,4,G-1 Champions League Season 5,1,40723.0,65157.0,2013-05-26,9060,3,0.7703325778322682,1169.966568245423,82083600,743677416000,9,27,1
11,2013-03-18,akke,Alliance,1988-05-26,4,RaidCall EMS One Spring Season,5,2000.0,28000.0,2013-04-21,9062,4,0.7116365615251168,1044.651012830414,82119844,744170026328,16,64,1
11,2013-05-19,akke,Alliance,1988-05-26,4,StarLadder StarSeries Season 6,1,12000.0,39000.0,2013-07-07,9124,5,0.7346645672714983,1054.0789182270134,83247376,759549058624,25,125,1
11,2013-05-20,akke,Alliance,1988-05-26,5,The Premier League Season 5,1,9000.0,15000.0,2013-07-21,9125,6,0.6682603143996052,912.1979780363813,83265625,759798828125,36,216,1
11,2013-05-21,akke,Alliance,1988-05-26,4,The Defense Season 4,4,2000.0,53000.0,2013-07-24,9126,8,0.7559811034023665,816.6797169328436,83283876,760048652376,64,512,1
11,2013-06-15,akke,Alliance,1988-05-26,5,DreamHack Summer 2013,1,21664.0,58798.0,2013-06-17,9151,9,0.7631958982807595,870.355097773449,83740801,766312069951,81,729,1
11,2013-08-02,akke,Alliance,1988-05-26,5,The International 2013,1,1437190.0,3219309.0,2013-08-11,9199,10,1.0,951.1269893604567,84621601,778434107599,100,1000,1
11,2013-08-31,akke,Alliance,1988-05-26,4,StarLadder StarSeries Season 7,2,6000.0,27000.0,2013-10-13,9228,11,0.6809350606569111,963.4200751907027,85155984,785819420352,121,1331,1
11,2013-09-02,akke,Alliance,1988-05-26,4,RaidCall EMS One Fall Season,3,4000.0,35000.0,2013-12-08,9230,12,0.6982534980393392,861.9379608413458,85192900,786330467000,144,1728,1
11,2013-09-11,akke,Alliance,1988-05-26,4,WePlay Dota2 League Season 2,2,6000.0,41000.0,2013-11-10,9239,13,0.7088125512685809,889.3651057668449,85359121,788632918919,169,2197,1
11,2013-10-17,akke,Alliance,1988-05-26,5,Dota 2 Champions League Season 1,1,25000.0,68000.0,2014-01-15,9275,14,0.7425760837359738,838.615787934157,86025625,797887671875,196,2744,1
11,2013-10-21,akke,Alliance,1988-05-26,4,Fragbite Masters 2013,1,15205.0,34969.0,2013-12-14,9279,15,0.6981943638488097,850.304061131354,86099841,798920424639,225,3375,1
11,2013-11-04,akke,Alliance,1988-05-26,4,ASUS ROG DreamLeague Kick-Off Season,3,7500.0,55000.0,2013-11-30,9293,16,0.7284166516894216,663.89896142253,86359849,802542076757,256,4096,1
11,2013-11-22,akke,Alliance,1988-05-26,5,MLG Championship Columbus,5,2739.0,136959.0,2013-11-24,9311,17,0.7893020753508921,542.4847002527509,86694721,807214547231,289,4913,1
11,2013-11-25,akke,Alliance,1988-05-26,4,StarLadder StarSeries Season 8,2,31000.0,130200.0,2014-01-19,9314,18,0.7859246331689069,542.400949793119,86750596,807995051144,324,5832,1
11,2014-01-07,akke,Alliance,1988-05-26,5,Dota 2 League Season 4,4,2500.0,50000.0,2014-01-08,9357,19,0.7220561423566209,554.8003729628633,87553449,819237622293,361,6859,1
11,2014-02-09,akke,Alliance,1988-05-26,5,Dota 2 Champions League Season 2,4,12300.0,197100.0,2014-04-15,9390,20,0.8135955316562243,383.9170578361826,88172100,827936019000,400,8000,1
11,2014-02-18,akke,Alliance,1988-05-26,5,XMG Captains Draft Invitational,3,4825.0,43425.0,2014-04-01,9399,21,0.7126473515968931,396.2416761361163,88341201,830318948199,441,9261,1
11,2014-03-03,akke,Alliance,1988-05-26,5,ASUS ROG DreamLeague Season 1,1,74000.0,220000.0,2014-06-16,9412,22,0.8209307801908562,305.5149717659856,88585744,833769022528,484,10648,1
11,2014-03-05,akke,Alliance,1988-05-26,5,StarLadder StarSeries Season 9,5,7500.0,53000.0,2014-04-20,9414,23,0.7259447084541306,283.4167234808335,88623396,834300649944,529,12167,1
11,2014-03-29,akke,Alliance,1988-05-26,5,WPC 2014,4,8003.0,244886.0,2014-06-02,9438,24,0.8280824356885808,182.07384713723764,89075844,840697815672,576,13824,1
11,2014-04-25,akke,Alliance,1988-05-26,5,Dota 2 Champions League Season 3,3,10175.0,81404.0,2014-06-25,9465,25,0.754582795865543,424.08371253323025,89586225,847933619625,625,15625,1
11,2014-06-28,akke,Alliance,1988-05-26,5,ESL One Frankfurt 2014,3,21090.0,210900.0,2014-06-29,9529,26,0.8181116698405347,324.0406295036038,90801841,865250742889,676,17576,1
11,2014-07-08,akke,Alliance,1988-05-26,5,The International 2014,11,38234.0,10967674.0,2014-07-21,9539,27,1.0,43.25303980664194,90992521,867977657819,729,19683,1
11,2014-08-15,akke,Alliance,1988-05-26,5,StarLadder StarSeries Season 10,4,18718.0,233980.0,2014-10-26,9577,28,0.7626550266152107,350.5985287424737,91718929,878392183033,784,21952,1
11,2014-10-02,akke,Alliance,1988-05-26,5,World Cyber Arena 2014,3,40360.0,468177.0,2014-10-05,9625,29,0.8054428728024902,264.017096271224,92640625,891666015625,841,24389,1
11,2014-10-09,akke,Alliance,1988-05-26,5,ESL One New York 2014,5,7051.0,141012.0,2014-10-10,9632,30,0.7314165200131894,392.4426493710931,92775424,893612883968,900,27000,1
11,2014-12-10,akke,Alliance,1988-05-26,5,Esportal Dota 2 League Invitational Tournament 1,3,1558.0,18692.0,2014-12-14,9694,31,0.6067594145310029,587.6459945032868,93973636,910980427384,961,29791,1
11,2015-01-21,akke,Alliance,1988-05-26,5,Dota Pit League Season 3,5,10615.0,329068.0,2015-07-12,9736,32,0.7836925984237137,295.3943753357928,94789696,922872480256,1024,32768,1
