id,start,player,team,dob,position,tour,place,prize,pool,end,age,exp,weight,crt,age2,age3,exp2,exp3,const
0,2016-12-14,33,Prodota Gaming,1997-04-17,2,World Cyber Arena 2016,4,28744.0,732972.0,2016-12-16,7181,0,0.8210356141428047,999.9744705231566,51566761,370300910741,0,0,1
0,2017-05-02,33,Prodota Gaming,1997-04-17,3,Mr. Cat Invitational Europe,4,5000.0,70000.0,2017-05-18,7320,1,0.6782504307249609,1026.367702169169,53582400,392223168000,1,1,1
1,2015-11-28,4dr,PaiN Gaming,1993-07-13,1,Dota 2 Canada Cup Season 6,3,4076.0,93751.0,2016-02-08,8173,0,0.6862138510683166,900.4387047732303,66797929,545939473717,0,0,1
1,2017-04-24,4dr,SG e-sports,1993-07-13,2,The Kiev Major 2017,5,125000.0,3000000.0,2017-04-30,8686,1,0.9067123605322307,936.1009540214721,75446596,655329132856,1,1,1
1,2017-05-30,4dr,SG e-sports,1993-07-13,2,DreamLeague Season 7 NA Division,4,1000.0,12000.0,2017-05-31,8722,2,0.571032085272075,931.4892518657615,76073284,663511183048,4,8,1
1,2017-07-07,4dr,SG e-sports,1993-07-13,2,The Final Match Season 1,2,11250.0,50000.0,2017-07-09,8760,3,0.6577944147019157,932.2048160475665,76737600,672221376000,9,27,1
2,2013-08-31,7ckngmad,Quantic Gaming,1992-05-11,4,StarLadder StarSeries Season 7,4,1500.0,27000.0,2013-10-13,7782,0,0.6809350606569111,1133.7341939336598,60559524,471274215768,0,0,1
2,2013-11-22,7ckngmad,Sigma.int,1992-05-11,4,MLG Championship Columbus,3,13696.0,136959.0,2013-11-24,7865,1,0.7893020753508921,1177.792544209914,61858225,486514939625,1,1,1
2,2014-01-04,7ckngmad,Sigma.int,1992-05-11,4,Pinnacle Sports Pro-Am,1,10250.0,13650.0,2014-01-12,7908,2,0.6354154054251988,1138.4020236206247,62536464,494538357312,4,8,1
2,2014-01-31,7ckngmad,Sigma.int,1992-05-11,4,Electronic Sports Prime Shock Therapy Cup,3,1000.0,15000.0,2014-02-08,7935,3,0.6417092132659893,1104.6022769454437,62964225,499621125375,9,27,1
2,2014-02-04,7ckngmad,Sigma.int,1992-05-11,4,MLG T.K.O. Europe,4,1500.0,34500.0,2014-04-16,7939,4,0.6972932679879514,1139.5105210923853,63027721,500377077019,16,64,1
2,2014-02-09,7ckngmad,Sigma.int,1992-05-11,5,Dota 2 Champions League Season 2,4,12300.0,197100.0,2014-04-15,7944,5,0.8135955316562243,1215.485238478128,63107136,501323088384,25,125,1
