,tour,place,prize,team
0,GESC: Thailand Dota2 Minor,1,"$100,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
1,DreamLeague Season 9,1,"$125,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
2,GESC: Indonesia Dota2 Minor,1,"$110,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
3,StarLadder i-League Invitational Season 4,1,"$135,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
4,Galaxy Battles II: Emerging Worlds,1,"$200,000",VGJ.Thunder
5,Galaxy Battles II: Emerging Worlds,2,"$85,000",Evil Geniuses
6,Galaxy Battles II: Emerging Worlds,3,"$60,000",Team Spirit
7,Galaxy Battles II: Emerging Worlds,4,"$45,000",OG
8,Galaxy Battles II: Emerging Worlds,5,"$35,000",TNC Pro Team
9,Galaxy Battles II: Emerging Worlds,5,"$35,000",paiN Gaming
10,Galaxy Battles II: Emerging Worlds,7,"$20,000",Infamous
11,Galaxy Battles II: Emerging Worlds,7,"$20,000",PG.Barracx
12,Captains Draft 4.0,1,"$108,000",Team Secret
13,Captains Draft 4.0,2,"$69,000",Vici Gaming
14,Captains Draft 4.0,3,"$37,500",Mineski
15,Captains Draft 4.0,3,"$37,500",OG
16,Captains Draft 4.0,5,"$12,000",paiN Gaming
17,Captains Draft 4.0,5,"$12,000",Evil Geniuses
18,Captains Draft 4.0,5,"$12,000",compLexity Gaming
19,Captains Draft 4.0,5,"$12,000",Team Empire
20,DOTA Summit 8,1,"$120,000",Virtus.pro
21,DOTA Summit 8,2,"$60,000",Fnatic
22,DOTA Summit 8,3,"$36,000",OG
23,DOTA Summit 8,3,"$36,000",Team Kinguin
24,DOTA Summit 8,5,"$18,000",compLexity Gaming
25,DOTA Summit 8,6,"$9,000",OpTic Gaming
26,DOTA Summit 8,6,"$9,000",Evil Geniuses
27,DOTA Summit 8,8,"$6,000",Sacred
28,DOTA Summit 8,8,"$6,000",LGD Gaming
29,ROG MASTERS 2017,1,"$117,500",Team Empire
30,ROG MASTERS 2017,2,"$58,800",OpTic Gaming
31,ROG MASTERS 2017,3,"$21,350",PENTA Sports
32,ROG MASTERS 2017,3,"$21,350",WarriorsGaming.Unity
33,ROG MASTERS 2017,5,"$8,000",Execration
34,ROG MASTERS 2017,5,"$8,000",Team MAX
35,MDL Macau,1,"$130,000",OG
36,MDL Macau,2,"$65,000",TNC Pro Team
37,MDL Macau,3,"$30,000",Natus Vincere
38,MDL Macau,3,"$30,000",Virtus.pro
39,MDL Macau,5,"$9,000",EHOME
40,MDL Macau,6,"$9,000",LGD.Forever Young
41,MDL Macau,7,"$9,000",Infamous
42,MDL Macau,8,"$9,000",LGD Gaming
43,MDL Macau,9,"$9,000",VGJ.Storm
44,Perfect World Masters,1,"$150,000",Newbee
45,Perfect World Masters,2,"$60,000",Vici Gaming
46,Perfect World Masters,3,"$30,000",LGD.Forever Young
47,Perfect World Masters,4,"$18,000",compLexity Gaming
48,Perfect World Masters,5,"$12,000",Team Kinguin
49,Perfect World Masters,5,"$12,000",Team Secret
50,Perfect World Masters,7,"$6,000",Mineski
51,Perfect World Masters,7,"$6,000",Vega Squadron
52,Perfect World Masters,9,"$3,000",LGD Gaming
53,Perfect World Masters,9,"$3,000",SG e-sports
54,China Top 2017,1,"$151,935",TNC Pro Team
55,China Top 2017,1,"$151,935",VGJ.Thunder
56,China Top 2017,1,"$151,935",Invictus Gaming
57,China Top 2017,1,"$151,935",Digital Chaos
58,Adrenaline Cyber League,1,"$65,000",Natus Vincere
59,Adrenaline Cyber League,2,"$25,000",Virtus.pro
60,Adrenaline Cyber League,3,"$5,000",mousesports
61,Adrenaline Cyber League,3,"$5,000",Team Empire
62,Dota2 Professional League Season 4 (2017 S2)- Top,1,"$51,204",LGD.Forever Young
63,Dota2 Professional League Season 4 (2017 S2)- Top,2,"$22,590",Newbee
64,Dota2 Professional League Season 4 (2017 S2)- Top,3,"$15,060",VGJ.Thunder
65,Dota2 Professional League Season 4 (2017 S2)- Top,4,"$12,048",Vici Gaming
66,Dota2 Professional League Season 4 (2017 S2)- Top,5,"$9,789",LGD Gaming
67,Dota2 Professional League Season 4 (2017 S2)- Top,5,"$9,789",Invictus Gaming
68,Dota2 Professional League Season 4 (2017 S2)- Top,7,"$7,530",iG Vitality
69,Dota2 Professional League Season 4 (2017 S2)- Top,8,"$7,530",Team MAX
70,Dota2 Professional League Season 4 (2017 S2)- Top,8,"$7,530",CDEC Gaming
71,AMD SAPPHIRE Dota PIT League,1,"$125,000",Team Liquid
72,AMD SAPPHIRE Dota PIT League,2,"$65,000",Vici Gaming
73,AMD SAPPHIRE Dota PIT League,3,"$35,000",Newbee
74,AMD SAPPHIRE Dota PIT League,4,"$25,000",Virtus.pro
75,AMD SAPPHIRE Dota PIT League,5,"$15,000",SG e-sports
76,AMD SAPPHIRE Dota PIT League,5,"$15,000",OG
77,AMD SAPPHIRE Dota PIT League,7,"$10,000",Immortals
78,AMD SAPPHIRE Dota PIT League,7,"$10,000",Fnatic
79,PGL Open Bucharest,1,"$130,000",Mineski
80,PGL Open Bucharest,2,"$65,000",LGD Gaming
81,PGL Open Bucharest,3,"$30,000",Immortals
82,PGL Open Bucharest,3,"$30,000",Evil Geniuses
83,PGL Open Bucharest,5,"$15,000",Team Secret
84,PGL Open Bucharest,5,"$15,000",VGJ.Thunder
85,PGL Open Bucharest,7,"$7,500",Infamous
86,PGL Open Bucharest,7,"$7,500",Natus Vincere
87,StarLadder i-League Invitational Season 3,1,"$135,000",Team Liquid
88,StarLadder i-League Invitational Season 3,2,"$60,000",Mineski
89,StarLadder i-League Invitational Season 3,3,"$30,000",compLexity Gaming
90,StarLadder i-League Invitational Season 3,3,"$30,000",Team Secret
91,StarLadder i-League Invitational Season 3,5,"$15,000",SG e-sports
92,StarLadder i-League Invitational Season 3,5,"$15,000",Natus Vincere
93,StarLadder i-League Invitational Season 3,7,"$7,500",Vici Gaming
94,StarLadder i-League Invitational Season 3,7,"$7,500",Newbee
95,DreamLeague Season 7,1,"$80,000",Team Liquid
96,DreamLeague Season 7,2,"$45,000",Planet Odd
97,DreamLeague Season 7,3,"$30,000",Team Secret
98,DreamLeague Season 7,4,"$20,000",Vega Squadron
99,The Final Match Season 1,1,"$21,250",Alliance
100,The Final Match Season 1,2,"$11,250",SG e-sports
101,The Final Match Season 1,3,"$6,500",Team Spirit
102,The Final Match Season 1,4,"$5,000",Thunder Awaken
103,The Final Match Season 1,5,"$1,750",Elite Wolves
104,The Final Match Season 1,5,"$1,750",MVP Revolution
105,The Final Match Season 1,7,"$1,250",Infamous
106,The Final Match Season 1,7,"$1,250",Midas Club Elite
107,DreamLeague Season 7 NA Division,1,"$6,000",Planet Odd
108,DreamLeague Season 7 NA Division,2,"$3,000",Team Freedom
109,DreamLeague Season 7 NA Division,3,"$2,000",compLexity Gaming
110,DreamLeague Season 7 NA Division,4,"$1,000",SG e-sports
111,Russian e-Sports Cup 2017,1,"$24,948",Virtus.pro
112,Russian e-Sports Cup 2017,2,"$12,563",Team Empire
113,Russian e-Sports Cup 2017,3,"$9,024",Team Spirit
114,Russian e-Sports Cup 2017,4,"$4,600",Elements Pro
115,Russian e-Sports Cup 2017,5,"$1,946",ZOKEN GAMING
116,Russian e-Sports Cup 2017,6,"$1,769",ZERO ONE
117,Russian e-Sports Cup 2017,6,"$1,769",Mad Dogs Team
118,Russian e-Sports Cup 2017,6,"$1,769",DVK
119,Russian e-Sports Cup 2017,6,"$1,769",Gears of Destraction
120,Russian e-Sports Cup 2017,6,"$1,769",Doteri Dva
121,Russian e-Sports Cup 2017,6,"$1,769",SFTe-sports
122,Russian e-Sports Cup 2017,6,"$1,769",Josskie
123,Russian e-Sports Cup 2017,6,"$1,769",PiTER
124,Russian e-Sports Cup 2017,6,"$1,769",People
125,Russian e-Sports Cup 2017,6,"$1,769",Without Problems
126,Russian e-Sports Cup 2017,6,"$1,769",Hollow
127,Russian e-Sports Cup 2017,6,"$1,769",LaFlamme
128,Russian e-Sports Cup 2017,6,"$1,769",ANIMA.APACHE
129,Russian e-Sports Cup 2017,6,"$1,769",Life Breake
130,Russian e-Sports Cup 2017,6,"$1,769",YAROST TOPORA
131,Russian e-Sports Cup 2017,6,"$1,769",Ignore Ochir
132,Russian e-Sports Cup 2017,6,"$1,769",Top Team
133,Russian e-Sports Cup 2017,6,"$1,769",F.R.I.E.N.D.S.
134,Russian e-Sports Cup 2017,6,"$1,769",Vega Squadron
135,DreamLeague Season 7 EU Division,1,"$10,000",Team Secret
136,DreamLeague Season 7 EU Division,2,"$9,000",Team Liquid
137,DreamLeague Season 7 EU Division,3,"$9,000",Vega Squadron
138,DreamLeague Season 7 EU Division,4,"$8,000",Virtus.pro
139,DreamLeague Season 7 EU Division,5,"$8,000",Team Empire
140,DreamLeague Season 7 EU Division,6,"$6,000",Natus Vincere
141,DreamLeague Season 7 EU Division,7,"$5,000",mousesports
142,DreamLeague Season 7 EU Division,8,"$1,000",Elements Pro
143,Mr. Cat Invitational Europe,1,"$25,000",Virtus.pro
144,Mr. Cat Invitational Europe,2,"$12,500",Team Empire
145,Mr. Cat Invitational Europe,3,"$7,500",Team Secret
146,Mr. Cat Invitational Europe,4,"$5,000",Prodota Gaming
147,Mr. Cat Invitational Europe,4,"$5,000",Ninjas in Pyjamas
148,Mr. Cat Invitational Europe,4,"$5,000",Vega Squadron
149,Mr. Cat Invitational Europe,4,"$5,000",Chip+4
150,Mr. Cat Invitational Europe,4,"$5,000",Effect
151,Mr. Cat Invitational Europe,4,"$5,000",Cloud9
152,Mr. Cat Invitational Europe,4,"$5,000",Team Spirit
153,Dota2 Professional League Season 3 (2017 S1) - Top,1,"$32,668",Newbee
154,Dota2 Professional League Season 3 (2017 S1) - Top,2,"$18,149",LGD Gaming
155,Dota2 Professional League Season 3 (2017 S1) - Top,3,"$8,711",Vici Gaming
156,Dota2 Professional League Season 3 (2017 S1) - Top,3,"$8,711",Invictus Gaming
157,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",iG Vitality
158,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",Team VGJ
159,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",LGD.Forever Young
160,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",Wings Gaming
161,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",EHOME.Keen
162,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",Vici Gaming Potential
163,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",CDEC Gaming
164,Dota2 Professional League Season 3 (2017 S1) - Top,5,"$2,178",FTD club C
165,Elimination Mode 3.0,1,"$12,000",OG
166,Elimination Mode 3.0,2,"$8,000",compLexity Gaming
167,Elimination Mode 3.0,3,"$2,500",Team Onyx
168,Elimination Mode 3.0,3,"$2,500",Alliance
169,Elimination Mode 3.0,3,"$2,500",WanteD
170,Elimination Mode 3.0,3,"$2,500",Ad Finem
171,Elimination Mode 3.0,3,"$2,500",Team Freedom
172,Elimination Mode 3.0,3,"$2,500",Ninjas in Pyjamas
173,Russian e-Sports Cup 2016,1,"$17,100",Flipsid3 Tactics
174,Russian e-Sports Cup 2016,2,"$8,550",Cascade
175,Russian e-Sports Cup 2016,3,"$4,275",sQreen's Squad
176,Russian e-Sports Cup 2016,3,"$4,275",Team Slark
177,Russian e-Sports Cup 2016,3,"$4,275",CocaColiki
178,Russian e-Sports Cup 2016,3,"$4,275",DVK
179,Russian e-Sports Cup 2016,3,"$4,275",«??????????»
180,Russian e-Sports Cup 2016,3,"$4,275",DoTT
181,Russian e-Sports Cup 2016,3,"$4,275",3D
182,Russian e-Sports Cup 2016,3,"$4,275",Nyanpasu
183,Russian e-Sports Cup 2016,3,"$4,275",AlphaSense
184,Russian e-Sports Cup 2016,3,"$4,275",BlessedByGod
185,Russian e-Sports Cup 2016,3,"$4,275",EhShasBi
186,Russian e-Sports Cup 2016,3,"$4,275",4k average
187,Russian e-Sports Cup 2016,3,"$4,275",Chew Toy
188,Dota2 Professional League Season 2 - Top,1,"$238,000",Newbee
189,Dota2 Professional League Season 2 - Top,2,"$105,000",iG Vitality
190,Dota2 Professional League Season 2 - Top,3,"$70,000",LGD Gaming
191,Dota2 Professional League Season 2 - Top,4,"$56,000",Invictus Gaming
192,Dota2 Professional League Season 2 - Top,5,"$49,000",LGD.Forever Young
193,Dota2 Professional League Season 2 - Top,6,"$42,000",CDEC Gaming
194,Dota2 Professional League Season 2 - Top,7,"$35,000",Vici Gaming
195,Dota2 Professional League Season 2 - Top,8,"$35,000",FTD club C
196,Dota2 Professional League Season 2 - Top,9,"$35,000",EHOME
197,Dota2 Professional League Season 2 - Top,10,"$35,000",Wings Gaming
198,Dota2 ACE - Provisional,1,"$29,036",Newbee
199,Dota2 ACE - Provisional,2,"$14,518",Team VGJ
200,Dota2 ACE - Provisional,3,"$7,259",Invictus Gaming
201,Dota2 ACE - Provisional,4,"$4,355",LGD Gaming
202,Dota2 ACE - Provisional,5,"$1,452",LGD.Forever Young
203,Dota2 ACE - Provisional,5,"$1,452",FTD club C
204,Dota2 ACE - Provisional,5,"$1,452",CDEC Gaming
205,Dota2 ACE - Provisional,5,"$1,452",Vici Gaming
206,Dota2 ACE - Provisional,5,"$1,452",iG Vitality
207,Dota2 ACE - Provisional,5,"$1,452",Vici Gaming Potential
208,Dota2 ACE - Provisional,5,"$1,452",Wings Gaming
209,Dota2 ACE - Provisional,5,"$1,452",EHOME.Keen
210,Dota2 ACE - Provisional,5,"$1,452",DUOBAO
211,Dota2 ACE - Provisional,5,"$1,452",EHOME
212,Dota2 ACE - Provisional,5,"$1,452",Brave Heart
213,Dota2 ACE - Provisional,5,"$1,452",Newbee Young
214,Dota2 ACE - Provisional,5,"$1,452",FTD club A
215,Dota2 ACE - Provisional,5,"$1,452",MAX.Y
216,Dota2 ACE - Provisional,5,"$1,452",TongFu
217,Dota2 ACE - Provisional,5,"$1,452",RUSH B
218,Dota2 ACE - Provisional,5,"$1,452",Avalon Club
219,Dota2 ACE - Provisional,5,"$1,452",We Are Young
220,Dota2 ACE - Provisional,5,"$1,452",White Fries Gaming
221,Dota2 ACE - Provisional,5,"$1,452",CAVALRY
222,Dota2 ACE - Provisional,5,"$1,452",Rampage Gaming
223,Dota2 ACE - Provisional,5,"$1,452",EHOME.Luminous
224,China Top 2016,1,"$114,952",Evil Geniuses
225,China Top 2016,2,"$57,476",Newbee
226,China Top 2016,3,"$28,738",Digital Chaos
227,China Top 2016,3,"$28,738",Wings Gaming
228,Dota2 Professional League Season 2 - Secondary,1,"$34,000",Team VGJ
229,Dota2 Professional League Season 2 - Secondary,2,"$15,000",FTD club A
230,Dota2 Professional League Season 2 - Secondary,3,"$10,000",Newbee Young
231,Dota2 Professional League Season 2 - Secondary,4,"$8,000",EHOME.Keen
232,Dota2 Professional League Season 2 - Secondary,5,"$7,000",DUOBAO
233,Dota2 Professional League Season 2 - Secondary,6,"$6,000",We Are Young
234,Dota2 Professional League Season 2 - Secondary,7,"$5,000",Brave Heart
235,Dota2 Professional League Season 2 - Secondary,8,"$5,000",EHOME.Luminous
236,Dota2 Professional League Season 2 - Secondary,9,"$5,000",TongFu
237,Dota2 Professional League Season 2 - Secondary,10,"$5,000",Avalon Club
238,ASUS ROG DreamLeague Season 6,1,"$90,000",Team Liquid
239,ASUS ROG DreamLeague Season 6,2,"$45,000",Escape Gaming
240,ASUS ROG DreamLeague Season 6,3,"$30,000",Alliance
241,ASUS ROG DreamLeague Season 6,4,"$20,000",The Imperial
242,ROG MASTERS 2016,1,"$71,250",Team Secret
243,ROG MASTERS 2016,2,"$33,750",Execration
244,ROG MASTERS 2016,3,"$15,000",EHOME.X
245,ROG MASTERS 2016,3,"$15,000",Mineski.GGNetwork
246,ROG MASTERS 2016,5,"$3,750",Fnatic
247,ROG MASTERS 2016,5,"$3,750",Entity eSports
248,ROG MASTERS 2016,5,"$3,750",Big and Black
249,ROG MASTERS 2016,5,"$3,750",Natural 9
250,ROG MASTERS 2016,5,"$3,750",MOL
251,ROG MASTERS 2016,5,"$3,750",MAX.X
252,ROG MASTERS 2016,5,"$3,750",The Mongolz
253,ROG MASTERS 2016,5,"$3,750",Aggressive 5
254,World Electronic Sports Games 2016 Asia Pacific Finals,1,"$29,340",To.be.or.not.to.be
255,World Electronic Sports Games 2016 Asia Pacific Finals,2,"$17,604",NoLifer5.Reborn
256,World Electronic Sports Games 2016 Asia Pacific Finals,3,"$8,802",s1 Lykos
257,World Electronic Sports Games 2016 Asia Pacific Finals,4,"$5,868",Signature.Trust
258,World Electronic Sports Games 2016 Asia Pacific Finals,5,"$2,934",MAX.Y
259,World Electronic Sports Games 2016 Asia Pacific Finals,5,"$2,934",TNC Pro Team
260,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",MVP Aegis
261,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",MVP Phoenix
262,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Slayers
263,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Da Teletubbies
264,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",90s Gaming
265,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Power Gaming
266,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",DeToNator
267,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",iClen
268,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Team Nation
269,World Electronic Sports Games 2016 Asia Pacific Finals,7,"$2,934",Next Generation
270,World Cyber Arena 2016 AM Qualifiers,1,"$28,000",VINCE TE IPSUM
271,World Cyber Arena 2016 AM Qualifiers,2,"$14,000",Union Gaming BO
272,World Cyber Arena 2016 AM Qualifiers,3,"$7,000",Midas Club Elite
273,World Cyber Arena 2016 AM Qualifiers,4,"$1,500",Not Today
274,World Cyber Arena 2016 AM Qualifiers,5,"$1,500",Pichau
275,World Cyber Arena 2016 AM Qualifiers,5,"$1,500",Apolo Gaming
276,World Cyber Arena 2016 AM Qualifiers,5,"$1,500",AlphaPro 
277,World Cyber Arena 2016 AM Qualifiers,5,"$1,500",Res Non Verba
278,World Cyber Arena 2016 Chinese Qualifiers S3,1,"$29,360",Newbee
279,World Cyber Arena 2016 Chinese Qualifiers S3,2,"$14,680",LGD Gaming
